primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	372	Pina Colada	392	100	496
0_2	372	Mojito	618	75	693
1_3	1040	White Wine	1045	25	1070
1_4	1040	Draft Beer	1223	50	1274
2_5	1949	Cosmopolitan	1951	65	2017
3_6	1997	Tequila shot	2000	20	2063
4_7	2026	Gin and Tonic	2027	40	2129
2_9	1949	Draft Beer	2068	50	2201
5_10	2208	Cider	2209	25	2251
3_8	1997	Cosmopolitan	2067	65	2336
5_12	2208	Margarita	2352	75	2435
3_13	1997	Red Wine	2389	25	2484
6_14	2391	Cosmopolitan	2394	65	2571
5_17	2208	Draft Beer	2516	50	2654
3_19	1997	White Wine	2642	25	2705
6_18	2391	Cosmopolitan	2624	65	2793
5_21	2208	Cider	2755	25	2846
8_16	2508	Margarita	2509	75	2943
9_20	2718	Margarita	2721	75	3052
8_24	2508	Draft Beer	3024	50	3128
3_22	1997	Mojito	2862	75	3231
8_25	2508	Vodka shot	3230	20	3279
8_26	2508	Cosmopolitan	3283	65	3366
3_27	1997	Draft Beer	3347	50	3442
8_28	2508	White Wine	3418	25	3492
4_11	2026	B52	2243	200	3712
10_29	3669	Cider	3671	25	3764
4_30	2026	Draft Beer	3724	50	3835
7_15	2414	B52	2416	200	4061
10_31	3669	Red Wine	3867	25	4105
4_32	2026	Gin and Tonic	3940	40	4166
7_33	2414	Draft Beer	4072	50	4238
10_34	3669	White Wine	4257	25	4284
4_35	2026	Bloody Mary	4282	70	4375
5_23	2208	B52	2947	200	4599
5_39	2208	Draft Beer	4610	50	4678
4_38	2026	Bloody Mary	4533	70	4773
10_37	3669	Mojito	4437	75	4876
7_36	2414	B52	4339	200	5107
10_41	3669	Beer	4992	25	5153
4_40	2026	Martini	4930	60	5245
7_42	2414	Bloody Mary	5118	70	5335
4_43	2026	Martini	5359	60	5421
7_44	2414	Red Wine	5487	25	5513
7_45	2414	Mojito	5671	75	5750
