primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
1_1	125	White Wine	135	25	161
2_3	191	Tequila shot	193	20	237
2_4	191	Vodka shot	241	20	293
3_5	250	Cider	252	25	346
2_8	191	Red Wine	297	25	400
1_9	125	Red Wine	313	25	450
3_10	250	Vodka shot	447	20	497
6_11	459	Tequila shot	460	20	546
3_13	250	Beer	501	25	599
6_14	459	Red Wine	550	25	649
8_16	668	Vodka shot	669	20	701
2_15	191	Gin and Tonic	550	40	778
9_17	747	Gin and Tonic	749	40	855
7_12	487	Draft Beer	488	50	937
5_7	288	Cosmopolitan	290	65	1030
9_19	747	Vodka shot	966	20	1078
5_21	288	Vodka shot	1082	20	1126
7_20	487	Red Wine	1038	25	1184
11_24	1132	White Wine	1133	25	1237
5_23	288	Bloody Mary	1130	70	1332
7_27	487	Beer	1335	25	1383
4_6	277	Mojito	279	75	1482
5_30	288	Martini	1486	60	1565
14_31	1576	Martini	1578	60	1647
4_32	277	White Wine	1593	25	1694
15_34	1674	Cider	1677	25	1739
16_35	1686	Beer	1688	25	1787
14_37	1576	Gin and Tonic	1759	40	1847
4_38	277	Cosmopolitan	1845	65	1933
16_39	1686	Cider	1888	25	1984
4_43	277	Beer	1984	25	2029
20_44	2014	Red Wine	2016	25	2079
21_45	2048	White Wine	2050	25	2129
23_48	2135	White Wine	2136	25	2179
24_49	2161	Red Wine	2163	25	2232
14_40	1576	Draft Beer	1963	50	2309
21_52	2048	Gin and Tonic	2282	40	2380
24_54	2161	Red Wine	2383	25	2434
18_41	1971	Draft Beer	1973	50	2515
16_46	1686	Draft Beer	2085	50	2589
24_58	2161	Vodka shot	2585	20	2631
18_59	1971	Tequila shot	2617	20	2677
24_60	2161	Tequila shot	2635	20	2720
29_65	2729	Vodka shot	2731	20	2762
22_47	2117	Martini	2118	60	2845
25_51	2228	Cosmopolitan	2231	65	2931
26_55	2423	Cosmopolitan	2425	65	3020
30_69	2998	White Wine	3000	25	3068
32_71	3040	White Wine	3042	25	3116
26_72	2423	White Wine	3071	25	3166
28_62	2687	Bloody Mary	2689	70	3262
33_73	3195	Vodka shot	3197	20	3311
32_74	3040	Tequila shot	3269	20	3361
32_77	3040	Martini	3365	60	3448
28_78	2687	Martini	3413	60	3532
34_79	3472	White Wine	3475	25	3584
16_63	1686	Bloody Mary	2689	70	3677
28_82	2687	Martini	3643	60	3768
34_83	3472	Red Wine	3735	25	3813
16_84	1686	Gin and Tonic	3827	40	3876
28_85	2687	Vodka shot	3878	20	3924
28_86	2687	Beer	3928	25	3970
16_88	1686	White Wine	3987	25	4021
36_87	3961	Martini	3963	60	4107
38_90	4100	Vodka shot	4102	20	4153
38_91	4100	Tequila shot	4157	20	4266
37_89	4090	Beer	4092	25	4316
38_92	4100	Draft Beer	4270	50	4392
22_67	2117	Bloody Mary	2955	70	4486
39_94	4479	Vodka shot	4481	20	4529
33_75	3195	Bloody Mary	3315	70	4626
22_97	2117	Cosmopolitan	4637	65	4713
35_80	3490	Bloody Mary	3494	70	4807
22_98	2117	Martini	4765	60	4893
10_18	768	Mojito	772	75	4993
22_100	2117	Red Wine	5006	25	5039
9_22	747	Mojito	1082	75	5144
40_102	5138	Vodka shot	5141	20	5191
7_29	487	Margarita	1486	75	5297
9_105	747	Martini	5256	60	5377
5_33	288	Mojito	1676	75	5483
17_36	1724	Mojito	1725	75	5604
23_53	2135	Mojito	2330	75	5704
17_107	1724	Vodka shot	5720	20	5745
21_57	2048	Mojito	2493	75	5845
23_109	2135	Cider	5817	25	5901
18_61	1971	Margarita	2680	75	6007
24_64	2161	Margarita	2724	75	6115
29_66	2729	Mojito	2766	75	6212
24_112	2161	Martini	6197	60	6294
