primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	323	Tequila shot	345	20	369
1_2	363	Pina Colada	366	100	517
2_4	513	Cider	515	25	578
3_5	566	B52	567	200	798
0_3	323	Draft Beer	374	50	880
1_6	363	Red Wine	640	25	925
2_7	513	B52	680	200	1147
5_10	1088	Pina Colada	1090	100	1277
4_11	1063	Red Wine	1111	25	1329
0_8	323	Vodka shot	981	20	1374
6_14	1387	Cider	1389	25	1425
5_15	1088	Mojito	1399	75	1526
7_16	1497	Red Wine	1498	25	1576
6_17	1387	Beer	1526	25	1629
1_9	363	Pina Colada	1078	100	1754
2_12	513	Pina Colada	1159	100	1881
0_13	323	Draft Beer	1378	50	1957
5_18	1088	Mojito	1637	75	2059
6_19	1387	Gin and Tonic	1729	40	2123
8_23	2089	Bloody Mary	2090	70	2221
1_20	363	B52	1881	200	2451
9_27	2432	Pina Colada	2435	100	2577
8_26	2089	B52	2373	200	2804
10_28	2668	Martini	2669	60	2893
9_29	2432	Mojito	2698	75	2990
10_31	2668	Bloody Mary	3004	70	3091
2_21	513	Margarita	2003	75	3202
0_22	323	Beer	2059	25	3253
5_24	1088	B52	2170	200	3479
6_25	1387	B52	2234	200	3705
8_30	2089	Beer	2816	25	3756
9_32	2432	Red Wine	3101	25	3805
2_33	513	Tequila shot	3283	20	3847
0_34	323	Vodka shot	3356	20	3886
5_35	1088	Martini	3490	60	3969
6_36	1387	Tequila shot	3716	20	4012
2_37	513	Cosmopolitan	3850	65	4095
8_38	2089	Tequila shot	3857	20	4137
9_39	2432	Tequila shot	3956	20	4175
5_40	1088	B52	4081	200	4406
11_44	4342	Mojito	4345	75	4515
8_41	2089	Bloody Mary	4140	70	4637
11_46	4342	Mojito	4629	75	4752
2_42	513	White Wine	4146	25	4805
9_43	2432	Draft Beer	4179	50	4875
5_45	1088	Mojito	4418	75	4971
8_47	2089	Tequila shot	4788	20	5013
11_48	4342	Cider	4863	25	5057
9_49	2432	Bloody Mary	4976	70	5148
