primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	323	Tequila shot	343	20	364
0_3	323	Draft Beer	368	50	457
1_2	363	Pina Colada	365	100	585
2_4	513	Cider	537	25	636
3_6	566	Red Wine	569	25	692
0_5	323	B52	559	200	921
2_8	513	Vodka shot	739	20	969
3_9	566	Pina Colada	847	100	1090
4_11	1063	Red Wine	1066	25	1135
0_10	323	Pina Colada	932	100	1255
3_13	566	Draft Beer	1216	50	1327
4_14	1063	Cider	1285	25	1373
6_16	1387	Red Wine	1389	25	1420
0_15	323	Mojito	1381	75	1517
4_17	1063	Beer	1474	25	1563
6_19	1387	Gin and Tonic	1571	40	1624
7_18	1497	Mojito	1500	75	1725
8_22	1716	Beer	1719	25	1772
6_23	1387	Bloody Mary	1734	70	1862
4_21	1063	Margarita	1664	75	1962
5_12	1088	Pina Colada	1091	100	2087
10_28	2089	Martini	2092	60	2168
9_27	2013	Pina Colada	2016	100	2286
10_29	2089	Mojito	2279	75	2382
1_7	363	B52	706	200	2601
9_30	2013	Beer	2407	25	2647
1_32	363	Red Wine	2612	25	2693
12_33	2668	Tequila shot	2670	20	2737
12_34	2668	Vodka shot	2740	20	2846
1_36	363	Tequila shot	2844	20	2887
1_38	363	Tequila shot	2891	20	2931
13_39	2917	Tequila shot	2919	20	2970
9_35	2013	Martini	2748	60	3050
12_37	2668	Cosmopolitan	2850	65	3137
11_31	2432	Bloody Mary	2435	70	3226
9_42	2013	White Wine	3164	25	3274
12_43	2668	Draft Beer	3189	50	3345
13_41	2917	Bloody Mary	2974	70	3437
12_47	2668	Tequila shot	3447	20	3478
11_44	2432	Mojito	3378	75	3572
9_45	2013	Mojito	3424	75	3668
14_46	3436	Mojito	3441	75	3763
11_48	2432	Cider	3688	25	3808
9_49	2013	Bloody Mary	3779	70	3902
14_50	3436	Beer	3875	25	3946
0_20	323	B52	1629	200	4168
9_51	2013	Draft Beer	4053	50	4238
7_24	1497	B52	1841	200	4455
7_54	1497	Tequila shot	4466	20	4495
9_52	2013	Cider	4342	25	4538
7_55	1497	Gin and Tonic	4499	40	4598
15_53	4342	Margarita	4345	75	4694
7_56	1497	Bloody Mary	4714	70	4785
8_25	1716	B52	1873	200	5007
8_57	1716	Martini	5018	60	5088
6_26	1387	B52	2013	200	5314
8_58	1716	Red Wine	5198	25	5361
1_40	363	B52	2935	200	5585
6_59	1387	B52	5325	200	5808
8_60	1716	B52	5512	200	6043
