primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	1	Tequila shot	15	20	39
1_3	43	Draft Beer	45	50	135
0_2	1	Pina Colada	44	100	287
2_5	256	B52	259	200	524
3_6	259	Red Wine	262	25	577
4_7	323	B52	325	200	806
5_8	363	Vodka shot	382	20	852
6_10	513	Pina Colada	516	100	974
7_12	566	Pina Colada	567	100	1106
8_14	757	Cider	760	25	1152
9_17	1009	Beer	1011	25	1198
10_18	1014	Mojito	1015	75	1293
11_19	1025	Gin and Tonic	1027	40	-17
12_20	1061	B52	1064	200	206
13_21	1063	Margarita	1065	75	317
14_22	1088	Beer	1090	25	371
15_24	1181	B52	1185	200	596
16_27	1253	Pina Colada	1255	100	726
17_28	1273	Martini	1275	60	830
18_30	1387	Beer	11	25	877
19_32	1428	Red Wine	53	25	925
20_34	1497	Vodka shot	123	20	966
21_36	1716	Tequila shot	341	20	1007
22_40	2001	B52	625	200	1233
23_41	2013	Bloody Mary	639	70	1334
24_42	2089	White Wine	716	25	1382
25_43	2134	Draft Beer	758	50	1454
26_45	2246	Mojito	871	75	1553
27_49	2354	Bloody Mary	980	70	1648
28_51	2432	Draft Beer	1057	50	1721
29_52	2499	Cider	1124	25	1776
30_53	2533	Margarita	1159	75	1874
31_55	2640	Gin and Tonic	1265	40	2000
32_56	2668	Bloody Mary	1295	70	2107
33_57	2683	Martini	1309	60	2198
34_59	2917	B52	1542	200	2423
35_62	3112	Vodka shot	1740	20	2474
36_67	3436	Martini	2062	60	2557
37_69	3549	White Wine	2174	25	2608
1_4	43	Cider	240	25	2652
2_11	256	Red Wine	536	25	2698
3_13	259	Draft Beer	729	50	2768
4_15	323	Mojito	818	75	2861
5_16	363	Red Wine	856	25	2913
6_23	513	Bloody Mary	1096	70	3005
38_78	4342	Vodka shot	2968	20	3050
7_25	566	B52	1227	200	3270
39_82	4601	Mojito	3227	75	3372
40_84	4744	Cider	3373	25	3428
8_26	757	B52	1253	200	3657
9_29	1009	Mojito	1300	75	3765
41_88	5109	White Wine	3735	25	3816
10_31	1014	Bloody Mary	28	70	3911
11_33	1025	Tequila shot	96	20	3955
12_35	1061	Martini	218	60	4036
13_37	1063	Cosmopolitan	400	65	4122
14_38	1088	Tequila shot	472	20	4163
15_39	1181	Tequila shot	607	20	4202
16_44	1253	Mojito	847	75	4296
17_46	1273	Mojito	941	75	4399
20_47	1497	Tequila shot	969	20	4440
18_48	1387	Cider	978	25	4485
21_50	1716	Beer	1010	25	4529
42_97	5889	Vodka shot	4514	20	4568
22_54	2001	Tequila shot	1244	20	4612
23_58	2013	Red Wine	1485	25	4656
25_60	2134	B52	1556	200	4884
43_103	6246	Cosmopolitan	4873	65	4977
26_61	2246	Tequila shot	1665	20	5026
27_63	2354	Vodka shot	1800	20	5065
28_64	2432	Cider	1824	25	5107
29_65	2499	Pina Colada	1879	100	5229
30_66	2533	Gin and Tonic	1955	40	5292
31_68	2640	Red Wine	2115	25	5338
32_70	2668	Martini	2261	60	5418
33_71	2683	Red Wine	2311	25	5469
34_72	2917	Vodka shot	2434	20	5508
35_73	3112	Bloody Mary	2478	70	5599
36_74	3436	Pina Colada	2668	100	5722
38_80	4342	Beer	3054	25	5778
39_85	4601	Tequila shot	3484	20	5816
40_86	4744	B52	3530	200	6041
41_90	5109	Tequila shot	3967	20	6091
0_9	1	Pina Colada	410	100	6211
42_98	5889	Vodka shot	4572	20	6259
43_105	6246	Cosmopolitan	5028	65	6344
1_75	43	Mojito	2754	75	6446
2_76	256	Mojito	2852	75	6547
3_77	259	Mojito	2870	75	6647
4_79	323	Gin and Tonic	2972	40	6717
5_81	363	Martini	3064	60	6798
7_83	566	Margarita	3281	75	6899
8_87	757	B52	3668	200	7130
9_89	1009	Red Wine	3876	25	7183
10_91	1014	Mojito	4064	75	7278
14_92	1088	Gin and Tonic	4167	40	7340
13_93	1063	B52	4173	200	7572
15_94	1181	Bloody Mary	4206	70	7682
16_95	1253	Martini	4408	60	7767
17_96	1273	White Wine	4511	25	7816
18_99	1387	Margarita	4586	75	7910
22_100	2001	Tequila shot	4615	20	7952
21_101	1716	Cosmopolitan	4630	65	8035
23_102	2013	Draft Beer	4808	50	8110
25_104	2134	Bloody Mary	4895	70	8204
26_106	2246	Cosmopolitan	5030	65	8291
27_107	2354	Cider	5069	25	8345
29_108	2499	Cider	5353	25	8389
30_109	2533	Cider	5403	25	8434
31_110	2640	Draft Beer	5491	50	8504
34_111	2917	Draft Beer	5511	50	8574
32_112	2668	Bloody Mary	5528	70	8666
33_113	2683	Margarita	5622	75	8773
35_114	3112	Martini	5751	60	8855
36_115	3436	Mojito	5846	75	8953
38_116	4342	Vodka shot	5880	20	9000
41_117	5109	Beer	6094	25	9042
42_118	5889	White Wine	6263	25	9087
0_119	1	Bloody Mary	6335	70	9177
43_120	6246	Red Wine	6397	25	9227
1_121	43	Pina Colada	6557	100	9348
2_122	256	Martini	6658	60	9434
3_123	259	White Wine	6758	25	9484
4_124	323	Vodka shot	6828	20	9526
7_125	566	Gin and Tonic	6983	40	9588
9_126	1009	Vodka shot	7334	20	9629
10_127	1014	Gin and Tonic	7389	40	9687
14_128	1088	Red Wine	7455	25	9728
13_129	1063	B52	7583	200	9946
15_130	1181	B52	7835	200	10173
16_131	1253	Martini	7879	60	10263
22_132	2001	Gin and Tonic	7956	40	10333
17_133	1273	White Wine	7967	25	10377
18_134	1387	Bloody Mary	7991	70	10463
21_135	1716	Tequila shot	8088	20	10503
26_136	2246	Vodka shot	8344	20	10539
25_137	2134	B52	8354	200	10757
29_138	2499	Gin and Tonic	8490	40	10821
30_139	2533	Gin and Tonic	8536	40	10881
34_140	2917	Vodka shot	8675	20	10925
32_141	2668	Pina Colada	8818	100	11047
33_142	2683	Martini	8855	60	11130
35_143	3112	Gin and Tonic	8968	40	11195
38_144	4342	Draft Beer	9003	50	11267
36_145	3436	Martini	9065	60	11353
41_146	5109	Bloody Mary	9145	70	11448
42_147	5889	Red Wine	9240	25	11492
0_148	1	Bloody Mary	9330	70	11581
43_149	6246	Draft Beer	9378	50	11648
1_150	43	Pina Colada	9474	100	11767
