primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	117	B52	157	200	359
1_2	191	White Wine	194	25	432
2_3	250	Tequila shot	252	20	479
0_4	117	Vodka shot	371	20	521
2_5	250	Cider	483	25	564
3_6	487	Mojito	488	75	659
0_7	117	Cosmopolitan	525	65	755
1_8	191	Red Wine	583	25	801
2_9	250	Red Wine	665	25	846
4_10	668	Vodka shot	677	20	884
5_11	747	Tequila shot	751	20	924
6_12	768	Draft Beer	769	50	994
3_13	487	Beer	770	25	1044
4_14	668	Red Wine	888	25	1090
5_15	747	Gin and Tonic	928	40	1150
1_16	191	Vodka shot	952	20	1192
2_17	250	Gin and Tonic	997	40	1251
6_18	768	Mojito	1096	75	1349
3_19	487	Vodka shot	1150	20	1397
7_20	1205	Red Wine	1206	25	1441
4_21	668	Vodka shot	1241	20	1482
5_22	747	Mojito	1260	75	1578
2_23	250	Bloody Mary	1362	70	1672
3_24	487	White Wine	1401	25	1730
6_25	768	Pina Colada	1461	100	1860
4_26	668	Pina Colada	1486	100	2052
8_27	1576	Beer	1591	25	2132
7_28	1205	B52	1591	200	2380
9_29	1674	Margarita	1679	75	2489
10_30	1686	Martini	1689	60	2580
5_31	747	Martini	1693	60	2663
11_32	1724	White Wine	1725	25	2711
12_33	1971	Mojito	1974	75	2805
6_34	768	Cider	1982	25	2861
13_35	2048	Beer	2057	25	2907
14_36	2117	Mojito	2119	75	3003
15_37	2135	Gin and Tonic	2140	40	3069
16_38	2161	Cosmopolitan	2163	65	3155
4_39	668	Cider	2174	25	3202
17_40	2228	Draft Beer	2230	50	3271
8_41	1576	Draft Beer	2233	50	3345
7_42	1205	B52	2392	200	3567
9_43	1674	Beer	2572	25	3620
18_44	2687	Red Wine	2689	25	3665
10_45	1686	White Wine	2691	25	3710
5_46	747	Draft Beer	2779	50	3779
11_47	1724	Martini	2862	60	3861
12_48	1971	White Wine	2916	25	3912
13_49	2048	Red Wine	3013	25	3957
19_50	3029	B52	3030	200	4176
20_51	3040	Cosmopolitan	3042	65	4264
15_52	2135	Gin and Tonic	3182	40	4333
16_53	2161	Mojito	3207	75	4431
17_54	2228	Red Wine	3372	25	4486
8_55	1576	Cosmopolitan	3450	65	4571
21_56	3472	Pina Colada	3475	100	4696
7_57	1205	Mojito	3578	75	4798
9_58	1674	Vodka shot	3720	20	4840
18_59	2687	Tequila shot	3816	20	4881
10_60	1686	Tequila shot	3863	20	4925
11_61	1724	Margarita	3972	75	5025
12_62	1971	Bloody Mary	4066	70	5122
13_63	2048	Bloody Mary	4114	70	5223
19_64	3029	Margarita	4186	75	5327
20_65	3040	Vodka shot	4315	20	5373
15_66	2135	Mojito	4449	75	5477
22_67	4479	Bloody Mary	4481	70	5572
16_68	2161	Mojito	4543	75	5671
17_69	2228	White Wine	4637	25	5721
21_70	3472	B52	4817	200	5952
9_71	1674	White Wine	4843	25	6001
18_72	2687	White Wine	4885	25	6051
7_73	1205	Vodka shot	4914	20	6098
12_74	1971	Tequila shot	5277	20	6142
20_75	3040	Bloody Mary	5377	70	6235
19_76	3029	Margarita	5409	75	6336
15_77	2135	Martini	5589	60	6421
22_78	4479	Martini	5725	60	6503
16_79	2161	White Wine	5785	25	6549
17_80	2228	Bloody Mary	5872	70	6642
21_81	3472	B52	5962	200	6863
12_82	1971	Martini	6146	60	6947
9_83	1674	Red Wine	6152	25	7001
18_84	2687	Gin and Tonic	6202	40	7072
20_85	3040	Vodka shot	6386	20	7118
19_86	3029	Beer	6417	25	7163
15_87	2135	Martini	6532	60	7244
16_88	2161	White Wine	6700	25	7294
17_89	2228	Beer	6798	25	7347
21_90	3472	Vodka shot	6874	20	7399
12_91	1971	Tequila shot	7061	20	7447
20_92	3040	Draft Beer	7122	50	7521
9_93	1674	B52	7152	200	7740
18_94	2687	Vodka shot	7183	20	7787
19_95	3029	B52	7264	200	8007
15_96	2135	B52	7355	200	8234
21_97	3472	Cosmopolitan	7403	65	8332
16_98	2161	Martini	7445	60	8419
17_99	2228	Mojito	7448	75	8515
12_100	1971	Red Wine	7451	25	8567
18_101	2687	B52	7791	200	8790
19_102	3029	Vodka shot	8018	20	8840
15_103	2135	Margarita	8246	75	8934
21_104	3472	B52	8384	200	9161
16_105	2161	Martini	8530	60	9249
17_106	2228	Margarita	8628	75	9375
19_107	3029	Vodka shot	8844	20	9439
15_108	2135	Pina Colada	9019	100	9557
21_109	3472	Cider	9172	25	9610
16_110	2161	Margarita	9360	75	9704
19_111	3029	Pina Colada	9442	100	9825
21_112	3472	Martini	9711	60	9910
