primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	1	Tequila shot	16	20	38
0_2	1	Pina Colada	43	100	191
1_3	43	Draft Beer	47	50	274
2_4	256	Cider	259	25	323
0_6	1	Red Wine	312	25	370
1_9	43	Pina Colada	379	100	496
2_10	256	Pina Colada	424	100	619
0_12	1	Pina Colada	521	100	749
1_14	43	Cider	622	25	798
2_15	256	Mojito	743	75	894
0_17	1	Beer	873	25	945
1_18	43	Mojito	903	75	1042
2_19	256	Gin and Tonic	1005	40	1103
3_5	259	B52	264	200	1323
1_26	43	B52	1154	200	1548
2_28	256	Martini	1215	60	1637
3_31	259	Bloody Mary	1334	70	1731
2_36	256	Tequila shot	1748	20	1782
2_37	256	Cosmopolitan	1786	65	1870
3_38	259	Tequila shot	1882	20	1915
3_39	259	Tequila shot	1919	20	1955
3_40	259	B52	1958	200	2176
4_7	323	B52	328	200	2402
4_47	323	Tequila shot	2414	20	2476
4_49	323	Bloody Mary	2480	70	2568
5_8	363	Vodka shot	367	20	2617
5_52	363	Cider	2621	25	2695
4_56	323	Bloody Mary	2719	70	2793
5_57	363	Martini	2799	60	2896
6_11	513	Red Wine	516	25	2958
4_59	323	B52	2945	200	3176
4_62	323	Vodka shot	3187	20	3217
6_60	513	B52	3110	200	3438
7_13	566	Draft Beer	571	50	3509
8_16	757	Red Wine	760	25	3556
9_20	1009	B52	1012	200	3778
7_65	566	Pina Colada	3610	100	3908
8_66	757	Gin and Tonic	3707	40	3977
9_67	1009	Martini	3789	60	4060
7_68	566	Red Wine	4035	25	4106
8_69	757	White Wine	4090	25	4151
10_21	1014	Margarita	1017	75	4246
7_71	566	Red Wine	4260	25	4293
9_70	1009	Martini	4172	60	4372
10_72	1014	Vodka shot	4328	20	4412
10_74	1014	Pina Colada	4416	100	4534
9_75	1009	Mojito	4483	75	4633
10_77	1014	Mojito	4655	75	3326
9_78	1009	Vodka shot	3339	20	3366
9_80	1009	Beer	3369	25	3410
11_22	1025	Beer	1028	25	3454
10_81	1014	Martini	3437	60	3533
11_82	1025	Mojito	3555	75	3634
10_83	1014	Margarita	3645	75	3738
12_23	1061	Bloody Mary	1063	70	3833
10_85	1014	Tequila shot	3823	20	3877
13_24	1063	B52	1066	200	4100
12_86	1061	B52	3985	200	4333
13_87	1063	B52	4112	200	4566
13_89	1063	Red Wine	4577	25	4612
14_25	1088	B52	1092	200	4832
13_90	1063	Tequila shot	4763	20	4881
13_93	1063	B52	4884	200	5106
13_94	1063	Bloody Mary	5118	70	5212
14_91	1088	Mojito	4843	75	5316
15_27	1181	Pina Colada	1185	100	5445
14_95	1088	Martini	5428	60	5531
16_29	1253	Mojito	1257	75	5627
14_97	1088	Vodka shot	5642	20	5670
14_98	1088	Vodka shot	5674	20	5709
14_99	1088	Margarita	5713	75	5803
15_96	1181	White Wine	5566	25	5853
16_100	1253	Tequila shot	5740	20	5892
14_101	1088	Cosmopolitan	5884	65	5976
16_102	1253	Draft Beer	5896	50	6047
14_104	1088	Bloody Mary	6027	70	6138
15_103	1181	Cosmopolitan	6004	65	6229
16_105	1253	Cosmopolitan	6147	65	6317
15_106	1181	Cosmopolitan	6281	65	6410
16_107	1253	Cider	6369	25	6459
15_108	1181	Cider	6460	25	6510
17_30	1273	Beer	1277	25	6556
16_109	1253	Cider	6559	25	6600
15_110	1181	Draft Beer	6611	50	6676
16_112	1253	Bloody Mary	6701	70	6774
15_113	1181	Margarita	6778	75	6877
17_111	1273	Draft Beer	6657	50	6952
15_114	1181	Martini	6960	60	7032
17_115	1273	Mojito	7053	75	7134
18_32	1387	Red Wine	1390	25	7186
19_33	1428	Tequila shot	1431	20	7225
20_34	1497	Vodka shot	1503	20	7263
17_116	1273	Vodka shot	7245	20	7302
17_118	1273	White Wine	7305	25	7347
18_119	1387	Bloody Mary	7339	70	7435
20_117	1497	Beer	7267	25	7486
17_120	1273	Red Wine	7498	25	7530
21_35	1716	Martini	1722	60	7609
18_121	1387	Pina Colada	7587	100	7728
21_122	1716	Martini	7720	60	7812
22_41	2001	Bloody Mary	2004	70	7909
18_123	1387	White Wine	7852	25	7957
21_124	1716	Vodka shot	7923	20	7996
21_125	1716	Gin and Tonic	8000	40	8113
18_127	1387	Gin and Tonic	8109	40	8174
22_126	2001	Vodka shot	8061	20	8241
22_128	2001	Red Wine	8245	25	8287
18_129	1387	B52	8286	200	8513
18_131	1387	Martini	8524	60	8598
22_130	2001	B52	8440	200	8829
22_132	2001	Gin and Tonic	8840	40	8898
23_42	2013	White Wine	2017	25	8943
24_43	2089	Draft Beer	2094	50	9012
22_133	2001	White Wine	9013	25	9058
25_44	2134	Mojito	2137	75	9154
23_134	2013	Bloody Mary	9094	70	9247
25_135	2134	Tequila shot	9264	20	9287
25_136	2134	Vodka shot	9291	20	9327
25_137	2134	B52	9330	200	9546
23_138	2013	Gin and Tonic	9400	40	9616
25_139	2134	Gin and Tonic	9557	40	9675
26_45	2246	Mojito	2249	75	9771
25_140	2134	Vodka shot	9786	20	9815
27_46	2354	Mojito	2357	75	9910
26_141	2246	Pina Colada	9883	100	10033
27_142	2354	Martini	10021	60	10120
28_48	2432	Cider	2435	25	10174
26_143	2246	Gin and Tonic	10158	40	10234
27_144	2354	Draft Beer	10232	50	10305
28_145	2432	Martini	10275	60	10385
26_146	2246	Bloody Mary	10346	70	10476
29_50	2499	Beer	2502	25	10525
30_51	2533	Draft Beer	2536	50	10595
31_53	2640	Margarita	2643	75	10693
26_148	2246	Bloody Mary	10629	70	10787
29_147	2499	Red Wine	10626	25	10834
30_149	2533	Draft Beer	10698	50	10903
31_150	2640	Pina Colada	10774	100	11027
26_151	2246	B52	10940	200	11255
