primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	323	Tequila shot	345	20	366
0_2	323	Pina Colada	370	100	516
1_3	363	Draft Beer	383	50	590
2_4	513	Cider	518	25	636
3_5	566	B52	570	200	862
0_6	323	Red Wine	637	25	908
1_7	363	B52	696	200	1131
2_8	513	Vodka shot	737	20	1170
3_9	566	Pina Colada	873	100	1292
0_10	323	Pina Colada	1060	100	1414
4_11	1063	Red Wine	1071	25	1462
5_12	1088	Pina Colada	1091	100	1584
1_13	363	Draft Beer	1142	50	1653
6_14	1387	Cider	1400	25	1698
3_15	566	Mojito	1417	75	1795
7_16	1497	Red Wine	1499	25	1842
0_17	323	Beer	1535	25	1888
4_18	1063	Mojito	1616	75	1987
8_19	1716	Gin and Tonic	1718	40	2049
1_20	363	B52	1756	200	2280
6_21	1387	Margarita	1802	75	2379
0_22	323	Beer	1991	25	2424
7_23	1497	Bloody Mary	1993	70	2528
9_24	2013	B52	2015	200	2753
10_25	2089	B52	2093	200	2977
4_26	1063	B52	2098	200	3201
8_27	1716	Pina Colada	2160	100	3329
1_28	363	Martini	2291	60	3410
11_29	2432	Mojito	2436	75	3506
6_30	1387	Beer	2460	25	3553
12_31	2668	Bloody Mary	2673	70	3644
7_32	1497	Red Wine	2680	25	3690
9_33	2013	Tequila shot	2764	20	3731
13_34	2917	Vodka shot	2922	20	3775
10_35	2089	Martini	2988	60	3855
4_36	1063	Tequila shot	3211	20	3895
14_37	3436	Cosmopolitan	3439	65	3978
8_38	1716	Tequila shot	3451	20	4020
1_39	363	Tequila shot	3522	20	4059
11_40	2432	B52	3620	200	4286
6_41	1387	Bloody Mary	3655	70	4380
9_42	2013	White Wine	3735	25	4426
13_43	2917	Draft Beer	3778	50	4497
12_44	2668	Mojito	3796	75	4595
7_45	1497	Mojito	3842	75	4691
8_46	1716	Mojito	4023	75	4788
14_47	3436	Tequila shot	4029	20	4828
11_48	2432	Cider	4297	25	4879
15_49	4342	Bloody Mary	4344	70	4980
6_50	1387	Beer	4538	25	5027
9_51	2013	Draft Beer	4579	50	5097
12_52	2668	Cider	4709	25	5141
7_53	1497	Margarita	4802	75	5235
8_54	1716	Tequila shot	4902	20	5276
9_55	2013	Gin and Tonic	5198	40	5335
12_56	2668	Bloody Mary	5242	70	5432
9_57	2013	Martini	5446	60	5518
12_58	2668	Red Wine	5585	25	5612
9_59	2013	B52	5629	200	5834
9_60	2013	B52	5845	200	6063
