primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	323	Tequila shot	354	20	375
0_3	323	Draft Beer	379	50	477
2_4	513	Cider	517	25	545
1_2	363	Pina Colada	366	100	670
0_6	323	Red Wine	579	25	717
3_5	566	B52	569	200	960
1_8	363	Vodka shot	791	20	1034
0_9	323	Pina Colada	870	100	1161
4_11	1063	Red Wine	1066	25	1213
1_10	363	Pina Colada	1038	100	1346
0_13	323	Draft Beer	1283	50	1417
6_14	1387	Cider	1391	25	1461
1_15	363	Mojito	1467	75	1562
7_16	1497	Red Wine	1503	25	1609
0_17	323	Beer	1518	25	1655
6_18	1387	Mojito	1564	75	1750
5_12	1088	Pina Colada	1091	100	1873
6_19	1387	Gin and Tonic	1861	40	1935
2_7	513	B52	646	200	2160
8_22	2089	Beer	2093	25	2212
2_23	513	Bloody Mary	2171	70	2315
6_21	1387	Margarita	2046	75	2416
5_20	1088	B52	1996	200	2655
5_28	1088	Martini	2666	60	2741
10_29	2668	Mojito	2671	75	2849
5_30	1088	Beer	2851	25	2910
6_27	1387	Pina Colada	2499	100	3056
5_32	1088	Red Wine	3014	25	3112
10_31	2668	Bloody Mary	2960	70	3206
8_24	2089	B52	2318	200	3432
5_33	1088	Tequila shot	3266	20	3471
8_34	2089	Vodka shot	3443	20	3511
8_36	2089	Tequila shot	3515	20	3551
5_35	1088	Martini	3475	60	3631
8_37	2089	Cosmopolitan	3554	65	3719
9_25	2432	B52	2438	200	3946
8_38	2089	Tequila shot	3772	20	3986
9_39	2432	Tequila shot	3957	20	4026
2_26	513	B52	2466	200	4246
2_41	513	Bloody Mary	4257	70	4339
11_42	4342	White Wine	4346	25	4386
9_40	2432	B52	4030	200	4610
2_43	513	Draft Beer	4490	50	4681
11_44	4342	Mojito	4538	75	4782
9_45	2432	Mojito	4621	75	4878
11_47	4342	Tequila shot	4893	20	4917
2_46	513	Mojito	4784	75	5012
9_48	2432	Cider	4989	25	5058
9_49	2432	Bloody Mary	5159	70	5233
