primary_key	waiting_time	response_time	turnaround_time
0_1	2	2	104
0_2	0	0	75
1_3	0	0	25
1_4	0	0	51
2_5	1	1	66
3_6	42	42	63
4_7	61	61	102
2_9	82	82	133
5_10	17	17	42
3_8	203	203	269
5_12	7	7	83
3_13	70	70	95
6_14	112	112	177
5_17	88	88	138
3_19	37	37	63
6_18	103	103	169
5_21	66	66	91
8_16	357	357	434
9_20	255	255	331
8_24	53	53	104
3_22	292	292	369
8_25	29	29	49
8_26	18	18	83
3_27	44	44	95
8_28	48	48	74
4_11	1268	1268	1469
10_29	68	68	93
4_30	60	60	111
7_15	1444	1444	1645
10_31	213	213	238
4_32	186	186	226
7_33	115	115	166
10_34	2	2	27
4_35	22	22	93
5_23	1449	1449	1652
5_39	18	18	68
4_38	168	168	240
10_37	363	363	439
7_36	565	565	768
10_41	135	135	161
4_40	254	254	315
7_42	146	146	217
4_43	1	1	62
7_44	0	0	26
7_45	0	0	79
