primary_key	waiting_time	response_time	turnaround_time
0_1	2	2	22
0_2	45	45	148
1_3	176	176	227
2_4	38	38	64
0_6	33	33	58
1_9	15	15	117
2_10	92	92	195
0_12	125	125	228
1_14	150	150	176
2_15	74	74	151
0_17	46	46	72
1_18	62	62	139
2_19	58	58	98
3_5	858	858	1059
1_26	192	192	394
2_28	361	361	422
3_31	325	325	397
2_36	13	13	34
2_37	18	18	84
3_38	13	13	33
3_39	15	15	36
3_40	15	15	218
4_7	1873	1873	2074
4_47	42	42	62
4_49	17	17	88
5_8	2229	2229	2250
5_52	48	48	74
4_56	4	4	74
5_57	36	36	97
6_11	2417	2417	2442
4_59	31	31	231
4_62	9	9	30
6_60	126	126	328
7_13	2888	2888	2938
8_16	2770	2770	2796
9_20	2564	2564	2766
7_65	198	198	298
8_66	229	229	270
9_67	211	211	271
7_68	45	45	71
8_69	35	35	61
10_21	3153	3153	3229
7_71	7	7	33
9_70	140	140	200
10_72	64	64	84
10_74	16	16	118
9_75	73	73	150
10_77	1	1	-1329
9_78	6	6	27
9_80	16	16	41
11_22	2401	2401	2426
10_81	36	36	96
11_82	3	3	79
10_83	16	16	93
12_23	2699	2699	2770
10_85	34	34	54
13_24	2829	2829	3034
12_86	145	145	348
13_87	252	252	454
13_89	10	10	35
14_25	3539	3539	3740
13_90	97	97	118
13_93	15	15	222
13_94	22	22	94
14_91	396	396	473
15_27	4159	4159	4260
14_95	41	41	103
16_29	4293	4293	4370
14_97	8	8	28
14_98	15	15	35
14_99	15	15	90
15_96	262	262	287
16_100	132	132	152
14_101	27	27	92
16_102	100	100	151
14_104	40	40	111
15_103	159	159	225
16_105	105	105	170
15_106	63	63	129
16_107	64	64	90
15_108	25	25	50
17_30	5254	5254	5279
16_109	15	15	41
15_110	14	14	65
16_112	3	3	73
15_113	23	23	99
17_111	244	244	295
15_114	10	10	72
17_115	4	4	81
18_32	5771	5771	5796
19_33	5774	5774	5794
20_34	5740	5740	5760
17_116	36	36	57
17_118	17	17	42
18_119	25	25	96
20_117	193	193	219
17_120	6	6	32
21_35	5826	5826	5887
18_121	40	40	141
21_122	30	30	92
22_41	5833	5833	5905
18_123	80	80	105
21_124	53	53	73
21_125	73	73	113
18_127	24	24	65
22_126	160	160	180
22_128	17	17	42
18_129	21	21	227
18_131	12	12	74
22_130	183	183	389
22_132	18	18	58
23_42	6901	6901	6926
24_43	6868	6868	6918
22_133	20	20	45
25_44	6941	6941	7017
23_134	82	82	153
25_135	2	2	23
25_136	15	15	36
25_137	15	15	216
23_138	175	175	216
25_139	77	77	118
26_45	7446	7446	7522
25_140	9	9	29
27_46	7478	7478	7553
26_141	49	49	150
27_142	38	38	99
28_48	7714	7714	7739
26_143	36	36	76
27_144	22	22	73
28_145	50	50	110
26_146	59	59	130
29_50	7997	7997	8023
30_51	8008	8008	8059
31_53	7973	7973	8050
26_148	87	87	158
29_147	183	183	208
30_149	155	155	205
31_150	150	150	253
26_151	110	110	315
29_152	302	302	352
30_153	355	355	416
29_155	10	10	51
31_154	359	359	384
30_156	27	27	47
29_158	0	0	201
29_159	15	15	40
30_157	290	290	341
32_54	9273	9273	9294
29_160	31	31	82
30_162	30	30	50
30_163	15	15	91
29_164	57	57	82
32_161	267	267	469
30_165	190	190	251
32_166	105	105	145
33_55	9933	9933	9973
34_58	9758	9758	9783
32_167	17	17	57
33_168	14	14	55
35_61	9735	9735	9756
32_170	19	19	45
33_172	1	1	104
34_169	212	212	273
32_173	82	82	132
33_174	58	58	129
34_175	75	75	115
35_171	501	501	552
33_176	5	5	30
34_177	26	26	96
35_178	57	57	123
33_179	50	50	75
34_181	4	4	25
34_182	17	17	42
35_180	106	106	131
33_183	6	6	31
36_63	10461	10461	10482
36_184	14	14	55
37_64	10462	10462	10487
38_73	9713	9713	9784
36_185	78	78	180
38_186	12	12	38
39_76	9735	9735	9811
36_187	44	44	147
38_188	141	141	208
39_189	121	121	198
36_190	91	91	157
38_191	159	159	179
38_192	80	80	106
40_79	11646	11646	11687
41_84	11351	11351	11376
42_88	10619	10619	10645
38_193	36	36	61
40_194	54	54	114
38_196	5	5	81
41_195	202	202	227
42_197	148	148	169
38_199	1	1	201
41_200	140	140	160
41_201	15	15	56
42_198	348	348	374
43_92	11017	11017	11058
41_202	47	47	97
42_203	36	36	62
43_204	55	55	80
42_205	0	0	52
43_206	30	30	81
42_207	2	2	54
43_208	1	1	77
43_209	0	0	63
43_210	1	1	27
43_211	0	0	26
43_212	0	0	42
