primary_key	waiting_time	response_time	turnaround_time
0_1	2	2	103
0_2	1	1	79
1_3	0	0	26
1_4	1	1	54
2_5	0	0	68
3_6	47	47	68
4_7	58	58	99
2_8	78	78	145
5_10	33	33	58
3_9	219	219	270
4_11	125	125	326
6_13	198	198	223
7_14	219	219	285
8_16	223	223	299
9_18	109	109	176
5_12	546	546	622
7_19	264	264	290
6_20	291	291	368
8_21	266	266	291
3_15	764	764	964
4_17	856	856	906
5_22	429	429	505
7_23	413	413	617
10_27	168	168	219
8_24	638	638	688
10_30	3	3	53
3_25	654	654	674
4_26	530	530	596
5_28	514	514	539
7_29	435	435	461
8_31	230	230	255
3_32	256	256	297
10_33	269	269	320
4_34	257	257	283
7_35	157	157	229
5_36	249	249	450
8_37	378	378	453
3_38	454	454	526
10_39	485	485	536
4_40	506	506	566
7_41	499	499	525
5_42	482	482	552
10_43	209	209	270
4_44	157	157	182
4_45	0	0	76
