primary_key	waiting_time	response_time	turnaround_time
0_1	0	0	203
2_3	159	159	179
0_4	86	86	107
1_2	299	299	325
2_5	111	111	136
3_7	103	103	169
1_10	1	1	22
1_11	16	16	36
4_8	94	94	120
2_9	132	132	158
5_13	105	105	131
6_14	133	133	159
4_15	9	9	50
5_16	31	31	51
2_17	62	62	102
6_19	33	33	54
6_21	17	17	38
4_20	96	96	121
2_24	34	34	60
3_12	581	581	631
7_23	159	159	230
0_6	983	983	1059
5_18	535	535	611
8_27	99	99	124
10_30	35	35	96
5_32	55	55	80
11_31	133	133	194
10_34	44	44	69
12_35	9	9	34
6_22	851	851	928
10_39	65	65	90
16_43	63	63	88
17_44	60	60	85
11_37	304	304	345
16_45	58	58	84
12_40	364	364	414
14_41	432	432	484
16_48	18	18	43
12_49	61	61	86
17_46	268	268	319
11_47	325	325	386
12_52	35	35	75
13_38	914	914	980
19_54	25	25	51
16_51	287	287	353
20_55	146	146	212
16_58	57	57	78
19_59	83	83	104
16_60	59	59	80
19_62	59	59	129
16_63	111	111	182
9_29	1912	1912	1988
19_65	71	71	91
16_67	19	19	90
8_33	2034	2034	2111
5_36	1954	1954	2029
8_69	12	12	37
17_53	1200	1200	1276
13_57	1104	1104	1180
20_61	989	989	1065
13_71	23	23	48
21_64	971	971	1047
22_73	63	63	83
22_74	17	17	38
20_72	174	174	199
21_75	77	77	149
19_66	1067	1067	1144
9_68	1138	1138	1215
21_77	99	99	161
9_79	14	14	40
19_78	190	190	252
21_80	75	75	146
19_82	13	13	74
20_76	622	622	699
21_83	53	53	78
19_84	51	51	92
20_85	57	57	78
4_25	4316	4316	4417
21_86	108	108	134
3_26	4430	4430	4530
21_88	51	51	77
4_87	132	132	193
3_89	41	41	66
21_90	26	26	46
12_56	3186	3186	3287
7_28	4776	4776	4981
12_91	129	129	150
7_92	64	64	114
15_42	4581	4581	4782
7_94	150	150	170
18_50	4317	4317	4518
18_97	15	15	81
17_70	3064	3064	3267
18_98	238	238	300
17_99	153	153	229
18_100	52	52	78
9_81	2616	2616	2819
18_102	115	115	135
9_103	49	49	124
12_93	1628	1628	1834
9_105	165	165	226
15_95	1647	1647	1847
15_106	13	13	90
7_96	1933	1933	2136
15_107	223	223	243
15_108	27	27	127
17_101	1464	1464	1664
15_109	136	136	161
17_110	74	74	150
15_111	47	47	149
18_104	1766	1766	1970
15_112	141	141	202
