primary_key	waiting_time	response_time	turnaround_time
0_1	2	2	204
0_4	31	31	52
0_5	23	23	49
1_2	281	281	306
2_3	267	267	288
2_7	18	18	84
3_6	157	157	234
1_8	168	168	194
2_10	189	189	209
2_14	22	22	47
3_13	128	128	153
1_15	14	14	54
4_9	402	402	427
2_17	25	25	65
3_16	85	85	106
3_18	17	17	92
4_20	67	67	92
5_11	616	616	637
5_21	17	17	37
5_22	22	22	97
4_23	60	60	131
5_25	3	3	104
4_29	0	0	77
5_30	17	17	78
4_31	30	30	90
6_12	1270	1270	1321
7_19	903	903	924
7_35	21	21	47
6_38	13	13	79
7_40	8	8	59
6_41	41	41	91
8_24	854	854	879
7_42	35	35	241
6_43	190	190	215
7_46	53	53	103
8_44	205	205	231
9_26	1186	1186	1287
10_27	1295	1295	1321
8_47	35	35	95
9_50	23	23	225
9_52	9	9	49
10_51	280	280	345
11_28	1751	1751	1956
9_54	224	224	249
10_55	246	246	312
11_56	144	144	245
9_57	75	75	152
12_32	2084	2084	2109
11_58	39	39	60
9_59	1	1	21
13_33	2135	2135	2212
12_60	50	50	71
12_61	17	17	93
13_62	48	48	120
12_63	28	28	101
14_34	2487	2487	2512
13_65	7	7	28
15_36	2554	2554	2630
12_66	51	51	126
15_67	5	5	76
12_68	3	3	78
16_37	2903	2903	2943
15_69	22	22	47
12_70	12	12	214
15_72	96	96	122
16_71	232	232	257
17_39	3266	3266	3292
18_45	2855	2855	2880
15_73	26	26	47
15_76	16	16	93
16_75	116	116	186
15_78	31	31	92
17_74	290	290	311
17_79	19	19	45
15_81	1	1	202
16_80	267	267	337
17_82	188	188	249
18_77	691	691	751
16_83	40	40	65
17_84	43	43	83
18_85	17	17	37
18_86	21	21	47
16_87	26	26	86
17_88	85	85	111
18_89	53	53	79
16_90	7	7	27
16_91	20	20	41
17_92	21	21	72
18_93	94	94	296
19_48	4240	4240	4266
20_49	4279	4279	4304
21_53	3891	3891	3968
19_94	13	13	34
19_95	15	15	216
19_98	12	12	72
20_96	309	309	518
19_99	134	134	212
20_100	108	108	133
21_97	619	619	685
19_101	36	36	244
19_104	7	7	215
19_105	24	24	85
20_103	500	500	575
21_102	616	616	637
21_106	16	16	91
20_107	75	75	96
22_64	4600	4600	4677
21_108	71	71	174
22_109	62	62	87
21_110	0	0	76
21_111	0	0	105
21_112	0	0	63
