primary_key	waiting_time	response_time	turnaround_time
0_1	3	3	205
0_8	45	45	70
1_2	323	323	348
2_3	322	322	343
2_11	26	26	46
0_12	35	35	85
1_13	48	48	74
3_4	523	523	544
0_17	16	16	56
1_19	31	31	51
1_20	19	19	45
3_16	180	180	201
3_21	19	19	40
3_22	23	23	99
1_23	62	62	133
3_26	6	6	108
4_5	1158	1158	1184
5_6	1184	1184	1260
6_7	1278	1278	1344
5_29	7	7	82
6_31	118	118	179
5_35	78	78	103
7_9	1487	1487	1513
6_37	31	31	72
5_40	52	52	102
7_43	24	24	49
6_45	50	50	75
8_10	1775	1775	1796
8_48	29	29	55
9_14	1711	1711	1736
6_49	43	43	68
10_15	1723	1723	1764
8_52	39	39	80
9_53	40	40	116
6_54	87	87	112
8_56	49	49	151
9_59	77	77	98
6_60	51	51	71
6_61	17	17	92
8_62	100	100	170
10_55	523	523	589
11_18	2466	2466	2543
8_68	57	57	134
10_67	168	168	240
8_71	12	12	37
12_24	2447	2447	2472
13_25	2416	2416	2518
8_72	38	38	63
12_74	39	39	60
12_75	18	18	89
13_76	83	83	160
14_27	2717	2717	2742
12_78	14	14	74
13_79	70	70	96
14_82	50	50	110
12_83	36	36	61
15_28	2754	2754	2960
12_85	93	93	113
14_84	221	221	261
16_30	2984	2984	3045
17_32	3055	3055	3080
14_87	43	43	103
16_88	39	39	65
17_89	3	3	28
14_90	10	10	30
14_91	19	19	39
14_92	17	17	68
17_93	79	79	285
14_95	152	152	353
17_96	238	238	444
17_97	10	10	76
18_33	4167	4167	4244
17_98	68	68	129
19_34	4325	4325	4350
18_99	35	35	111
17_100	50	50	75
19_101	68	68	271
17_103	102	102	178
18_102	287	287	307
18_105	16	16	77
19_104	228	228	429
18_106	125	125	201
20_36	5059	5059	5137
18_107	52	52	73
21_38	5224	5224	5290
20_108	196	196	299
21_109	224	224	249
22_39	5610	5610	5635
20_110	43	43	118
21_111	95	95	196
20_114	67	67	88
20_115	122	122	188
21_116	138	138	214
20_117	83	83	108
22_112	551	551	612
20_119	4	4	81
21_118	144	144	220
22_120	103	103	164
21_121	17	17	57
23_41	6668	6668	6718
22_122	46	46	86
21_123	53	53	154
22_125	44	44	114
23_124	213	213	291
24_42	7061	7061	7269
22_126	197	197	274
23_127	265	265	285
24_128	148	148	189
22_129	9	9	210
24_130	126	126	151
25_44	7732	7732	7758
26_46	7750	7750	7800
24_131	29	29	130
25_132	60	60	86
27_47	7920	7920	7981
24_133	23	23	49
28_50	7850	7850	8053
25_134	214	214	235
25_136	14	14	90
28_135	143	143	168
29_51	8221	8221	8287
25_137	71	71	96
28_138	46	46	251
25_140	140	140	166
28_141	52	52	78
29_139	321	321	388
25_142	48	48	151
28_143	129	129	189
29_144	171	171	192
29_145	20	20	227
28_146	174	174	235
30_57	9076	9076	9153
28_147	12	12	32
28_148	15	15	91
30_149	42	42	68
31_58	9307	9307	9327
32_63	9078	9078	9148
33_64	9135	9135	9212
34_65	9219	9219	9239
34_150	15	15	40
33_151	19	19	44
35_66	9190	9190	9265
34_152	58	58	83
33_153	13	13	33
33_154	15	15	91
34_156	2	2	203
33_157	153	153	223
35_155	399	399	464
36_69	9583	9583	9609
35_158	15	15	41
33_159	47	47	68
33_160	16	16	77
35_162	48	48	250
36_161	276	276	352
37_70	10115	10115	10320
37_163	8	8	28
37_164	16	16	37
37_165	16	16	87
38_73	10266	10266	10286
39_77	10076	10076	10137
40_80	10030	10030	10102
37_166	79	79	156
39_167	94	94	120
40_168	5	5	209
39_169	179	179	282
40_170	234	234	338
41_81	10840	10840	11046
40_171	141	141	203
41_172	91	91	152
42_86	10852	10852	10877
43_94	10243	10243	10263
41_174	5	5	71
42_175	51	51	71
41_177	13	13	74
42_176	106	106	178
41_178	33	33	99
43_173	440	440	460
41_180	8	8	59
43_179	84	84	110
44_113	8217	8217	8238
41_181	2	2	74
43_182	53	53	104
43_183	0	0	51
43_184	0	0	51
