primary_key	waiting_time	response_time	turnaround_time
0_1	1	1	21
0_2	42	42	144
1_3	168	168	218
2_4	22	22	48
3_5	65	65	266
0_6	240	240	265
4_7	265	265	466
1_8	444	444	465
5_9	485	485	587
2_10	562	562	665
6_11	578	578	603
3_12	602	602	706
7_13	691	691	741
0_14	619	619	644
8_15	632	632	709
4_16	685	685	711
1_17	699	699	725
9_18	632	632	708
10_19	725	725	766
11_20	778	778	981
12_21	974	974	1050
13_22	1081	1081	1106
5_23	1124	1124	1196
14_24	1204	1204	1407
15_25	1337	1337	1541
2_26	1551	1551	1759
16_27	1721	1721	1822
6_28	1823	1823	1884
17_29	1902	1902	1977
3_30	1907	1907	1933
18_31	1927	1927	1999
7_32	1991	1991	2016
19_33	2023	2023	2043
0_34	2025	2025	2045
20_35	2034	2034	2094
8_36	2034	2034	2055
1_37	1992	1992	2057
4_38	2075	2075	2096
21_39	2062	2062	2083
9_40	1989	1989	2192
10_41	2149	2149	2220
22_42	2130	2130	2155
23_43	2164	2164	2215
11_44	2230	2230	2306
24_45	2255	2255	2331
25_46	2307	2307	2383
12_47	2343	2343	2363
26_48	2326	2326	2352
13_49	2346	2346	2417
27_50	2352	2352	2377
5_51	2333	2333	2384
28_52	2391	2391	2416
29_53	2369	2369	2445
14_54	2458	2458	2478
30_55	2470	2470	2510
31_56	2419	2419	2490
32_57	2478	2478	2539
33_58	2551	2551	2576
15_59	2544	2544	2745
34_60	2576	2576	2784
2_61	2762	2762	2783
35_62	2653	2653	2673
16_63	2607	2607	2627
17_64	2483	2483	2508
3_65	2499	2499	2601
36_66	2581	2581	2621
18_67	2541	2541	2601
37_68	2610	2610	2635
7_69	2620	2620	2645
8_70	2614	2614	2675
20_71	2629	2629	2654
4_72	2615	2615	2635
1_73	2649	2649	2719
21_74	2704	2704	2805
9_75	2595	2595	2671
10_76	2456	2456	2532
22_77	2504	2504	2581
23_78	2576	2576	2596
38_79	2606	2606	2647
39_80	2406	2406	2432
25_81	2423	2423	2483
26_82	2427	2427	2504
40_83	2480	2480	2556
27_84	2485	2485	2511
13_85	2530	2530	2550
28_86	2471	2471	2671
14_87	2652	2652	2853
29_88	2833	2833	2858
41_89	2794	2794	2820
30_90	2791	2791	2812
31_91	2697	2697	2773
32_92	2751	2751	2791
33_93	2730	2730	2931
15_94	2878	2878	2950
34_95	2741	2741	2802
2_96	2785	2785	2811
35_97	2791	2791	2811
16_98	2861	2861	2882
42_99	2838	2838	2914
17_100	2858	2858	2878
3_101	2751	2751	2817
36_102	2790	2790	2841
43_103	2782	2782	2849
18_104	2865	2865	2937
7_105	2822	2822	2889
4_106	2891	2891	2957
21_107	2643	2643	2669
9_108	2608	2608	2634
10_109	2558	2558	2584
23_110	2574	2574	2624
22_111	2575	2575	2625
38_112	2544	2544	2616
39_113	2603	2603	2679
25_114	2609	2609	2669
26_115	2588	2588	2665
40_116	2623	2623	2644
13_117	2648	2648	2673
27_118	2634	2634	2659
14_119	2277	2277	2348
30_120	2251	2251	2277
29_121	2236	2236	2338
41_122	2314	2314	2375
31_123	2297	2297	2322
32_124	2285	2285	2306
33_125	2198	2198	2239
15_126	2030	2030	2050
35_127	2057	2057	2097
34_128	2095	2095	2121
16_129	2056	2056	2264
2_130	2278	2278	2485
17_131	2363	2363	2423
42_132	2417	2417	2458
36_133	2257	2257	2282
43_134	2265	2265	2337
18_135	2163	2163	2184
4_136	2132	2132	2152
21_137	2070	2070	2272
9_138	2251	2251	2291
10_139	2268	2268	2309
22_140	2194	2194	2214
38_141	2090	2090	2191
25_142	2076	2076	2137
26_143	2056	2056	2097
13_144	2049	2049	2100
14_145	1936	1936	1997
30_146	1970	1970	2041
29_147	1962	1962	1987
32_148	1959	1959	2029
41_149	2021	2021	2072
15_150	2028	2028	2130
33_151	2085	2085	869
35_152	788	788	838
34_153	775	775	836
16_154	766	766	791
2_155	583	583	623
17_156	463	463	483
42_157	440	440	491
18_158	443	443	644
36_159	645	645	670
43_160	598	598	648
22_161	357	357	558
9_162	567	567	587
10_163	548	548	624
38_164	474	474	500
25_165	446	446	506
26_166	467	467	507
13_167	468	468	508
14_168	436	436	476
30_169	366	366	427
29_170	405	405	430
32_171	357	357	408
41_172	399	399	502
15_173	1792	1792	1842
33_174	1749	1749	1820
34_175	1583	1583	1624
16_176	1612	1612	1638
17_177	1657	1657	1728
42_178	1577	1577	1643
18_179	1542	1542	1567
36_180	1450	1450	1475
43_181	1498	1498	1518
22_182	1408	1408	1433
10_183	1217	1217	1242
38_184	1178	1178	1219
25_185	1202	1202	1304
26_186	1261	1261	1287
14_187	1188	1188	1289
30_188	1229	1229	1295
29_189	1228	1228	1303
32_190	1304	1304	1369
41_191	1251	1251	1271
15_192	1240	1240	1266
33_193	1141	1141	1167
34_194	1173	1173	1234
16_195	1161	1161	1187
42_196	1129	1129	1205
18_197	1073	1073	1093
43_198	1102	1102	1128
38_199	889	889	1096
14_200	811	811	831
30_201	842	842	883
29_202	748	748	799
33_203	612	612	638
15_204	652	652	677
42_205	475	475	525
43_206	418	418	470
38_207	404	404	455
30_208	279	279	355
29_209	310	310	372
43_210	165	165	191
38_211	140	140	165
43_212	0	0	41
