primary_key	waiting_time	response_time	turnaround_time
1_1	0	0	27
2_3	21	21	41
3_4	55	55	75
2_5	71	71	96
1_10	39	39	60
1_11	19	19	40
3_8	153	153	179
6_9	202	202	227
7_13	79	79	105
8_14	101	101	127
3_15	19	19	59
7_16	39	39	59
6_17	80	80	121
10_19	64	64	84
11_21	88	88	109
8_20	137	137	163
6_24	54	54	79
1_12	579	579	630
5_7	792	792	858
12_27	18	18	44
13_30	9	9	70
12_31	12	12	73
14_32	73	73	99
10_23	598	598	669
12_34	52	52	78
14_35	20	20	45
4_6	1385	1385	1461
16_39	63	63	88
19_43	55	55	81
12_37	181	181	222
16_44	37	37	63
19_45	30	30	55
12_48	74	74	100
22_49	100	100	126
19_52	39	39	79
26_54	62	62	88
17_40	586	586	636
14_41	641	641	692
20_46	452	452	502
28_58	70	70	90
17_59	111	111	132
29_60	128	128	148
29_65	20	20	40
21_47	691	691	752
10_38	1101	1101	1167
21_69	4	4	29
24_51	772	772	838
27_55	751	751	817
33_73	33	33	54
34_74	63	63	83
24_71	132	132	157
21_72	167	167	193
35_77	42	42	102
28_62	800	800	870
21_79	43	43	69
24_78	131	131	191
37_82	42	42	103
28_83	75	75	100
24_85	34	34	54
24_86	16	16	41
38_88	12	12	37
28_89	3	3	29
21_84	254	254	294
37_87	193	193	253
28_90	57	57	77
39_91	60	60	80
39_94	21	21	41
21_92	126	126	177
41_98	94	94	155
40_97	190	190	255
41_100	3	3	28
17_63	1853	1853	1924
42_102	24	24	45
30_67	1861	1861	1932
17_105	4	4	66
33_75	1636	1636	1708
35_80	1403	1403	1474
17_107	87	87	108
9_18	4263	4263	4340
33_109	93	93	119
3_22	4287	4287	4364
33_113	11	11	31
33_114	14	14	35
43_112	117	117	178
33_115	98	98	163
5_29	4235	4235	4311
43_117	91	91	117
13_33	4177	4177	4253
43_120	15	15	76
15_36	4160	4160	4236
13_121	79	79	119
43_122	58	58	99
25_53	3814	3814	3890
22_57	3751	3751	3827
14_61	3638	3638	3715
22_125	6	6	77
20_64	3750	3750	3827
29_66	3778	3778	3853
22_127	64	64	84
20_128	75	75	115
29_130	4	4	29
31_68	3952	3952	4027
34_76	3647	3647	3724
21_99	2601	2601	2678
34_132	34	34	59
42_103	2480	2480	2556
30_106	2338	2338	2415
42_134	38	38	59
34_133	104	104	129
35_110	2257	2257	2333
3_116	2114	2114	2191
35_135	37	37	62
33_118	2074	2074	2149
5_119	2042	2042	2119
25_124	1584	1584	1660
5_137	82	82	107
14_126	1642	1642	1717
44_136	258	258	335
14_139	12	12	78
8_25	7143	7143	7246
14_140	89	89	114
6_26	7259	7259	7361
8_141	62	62	88
12_56	6315	6315	6417
8_144	39	39	59
6_143	107	107	168
17_108	3870	3870	3973
6_146	30	30	92
9_111	3877	3877	3980
17_147	107	107	128
17_149	18	18	44
6_148	124	124	199
9_150	84	84	110
43_123	3318	3318	3419
6_151	84	84	110
20_131	2834	2834	2935
43_152	96	96	121
14_142	1251	1251	1351
20_153	80	80	101
20_154	21	21	98
0_2	9857	9857	10058
20_155	163	163	229
1_28	9154	9154	9355
18_42	8805	8805	9005
18_157	17	17	89
23_50	8811	8811	9017
23_159	17	17	37
18_158	158	158	183
23_160	70	70	130
18_161	11	11	88
32_70	8375	8375	8581
36_81	8132	8132	8335
36_163	12	12	32
28_93	7868	7868	8068
28_164	10	10	30
28_165	15	15	86
37_95	8151	8151	8351
37_166	7	7	83
39_96	8443	8443	8644
37_167	129	129	154
40_101	8407	8407	8608
41_104	8486	8486	8687
41_169	15	15	117
22_129	6841	6841	7042
22_171	11	11	71
41_170	209	209	310
22_172	28	28	-1297
25_138	4628	4628	4829
41_173	201	201	221
41_175	13	13	33
25_174	85	85	150
8_145	4192	4192	4393
8_177	8	8	69
25_176	270	270	341
8_178	5	5	70
0_156	3175	3175	3379
25_179	188	188	213
0_180	51	51	101
18_162	2249	2249	2452
0_182	144	144	195
18_183	85	85	136
25_181	356	356	428
40_168	1160	1160	1364
40_184	12	12	62
