primary_key	waiting_time	response_time	turnaround_time
0_1	0	0	202
1_2	212	212	238
2_3	206	206	227
0_4	129	129	150
2_5	56	56	81
3_6	96	96	171
0_7	163	163	230
1_8	192	192	218
2_9	155	155	181
4_10	187	187	207
5_11	153	153	173
6_12	175	175	225
3_13	249	249	274
4_14	176	176	202
5_15	181	181	222
1_16	219	219	240
2_17	213	213	254
6_18	178	178	253
3_19	226	226	247
7_20	209	209	235
4_21	220	220	241
5_22	241	241	318
2_23	238	238	310
3_24	303	303	329
6_25	297	297	399
4_26	462	462	566
8_27	516	516	541
7_28	587	587	789
9_29	734	734	810
10_30	830	830	891
5_31	910	910	970
11_32	960	960	986
12_33	755	755	831
6_34	853	853	879
13_35	825	825	850
14_36	809	809	884
15_37	888	888	929
16_38	927	927	992
4_39	1003	1003	1028
17_40	990	990	1041
8_41	1061	1061	1112
7_42	974	974	1175
9_43	1022	1022	1048
18_44	950	950	976
10_45	994	994	1019
5_46	950	950	1000
11_47	938	938	999
12_48	971	971	996
13_49	918	918	944
19_50	944	944	1146
20_51	1155	1155	1222
15_52	1111	1111	1151
16_53	1148	1148	1224
17_54	1089	1089	1114
8_55	1056	1056	1121
21_56	1118	1118	1221
7_57	1144	1144	1220
9_58	1099	1099	1120
18_59	1044	1044	1065
10_60	1041	1041	1062
11_61	978	978	1053
12_62	985	985	1056
13_63	1037	1037	1109
19_64	1064	1064	1141
20_65	1038	1038	1058
15_66	951	951	1028
22_67	1020	1020	1091
16_68	1052	1052	1128
17_69	1059	1059	1084
21_70	927	927	1135
9_71	1133	1133	1158
18_72	1140	1140	1166
7_73	1163	1163	1184
12_74	844	844	865
20_75	788	788	858
19_76	850	850	927
15_77	771	771	832
22_78	717	717	778
16_79	738	738	764
17_80	700	700	770
21_81	699	699	901
12_82	740	740	801
9_83	824	824	849
18_84	830	830	870
20_85	711	711	732
19_86	721	721	746
15_87	652	652	712
16_88	569	569	594
17_89	523	523	549
21_90	505	505	525
12_91	366	366	386
20_92	348	348	399
9_93	387	387	588
18_94	584	584	604
19_95	542	542	743
15_96	672	672	879
21_97	864	864	929
16_98	913	913	974
17_99	991	991	1067
12_100	1091	1091	1116
18_101	795	795	999
19_102	801	801	822
15_103	612	612	688
21_104	576	576	777
16_105	659	659	719
17_106	670	670	747
19_107	574	574	595
15_108	438	438	538
21_109	412	412	438
16_110	268	268	344
19_111	281	281	383
21_112	138	138	199
