primary_key	waiting_time	response_time	turnaround_time
0_1	3	3	108
0_2	1	1	79
0_3	0	0	26
0_4	1	1	53
1_5	25	25	92
2_7	3	3	44
1_8	34	34	100
0_6	159	159	179
2_9	29	29	80
3_12	66	66	142
0_10	184	184	209
1_11	219	219	426
3_13	223	223	248
0_14	193	193	259
1_15	140	140	341
4_16	196	196	272
5_19	252	252	277
6_20	270	270	345
7_22	189	189	265
8_24	107	107	158
9_25	162	162	182
10_27	115	115	166
4_23	395	395	601
11_31	226	226	252
6_26	535	535	601
7_28	490	490	516
9_29	518	518	544
8_30	513	513	564
10_32	460	460	501
0_17	1347	1347	1397
3_18	1404	1404	1471
1_21	1331	1331	1357
4_33	587	587	638
6_34	473	473	499
9_35	378	378	449
12_41	48	48	74
7_36	511	511	718
12_43	153	153	213
10_37	693	693	770
3_38	693	693	764
1_39	695	695	746
4_40	695	695	756
6_42	679	679	750
9_44	686	686	712
7_45	605	605	682
12_46	514	514	534
10_47	455	455	480
3_48	365	365	391
4_49	285	285	306
6_50	196	196	221
12_51	195	195	402
9_52	435	435	455
7_53	413	413	515
3_54	420	420	440
10_55	453	453	653
12_56	469	469	494
9_57	469	469	495
7_58	270	270	321
10_59	186	186	211
12_60	97	97	158
10_61	15	15	217
