primary_key	waiting_time	response_time	turnaround_time
0_1	4	4	105
0_2	1	1	77
1_3	59	59	85
1_4	1	1	51
2_5	16	16	82
3_6	28	28	49
3_8	14	14	80
4_10	32	32	57
5_11	107	107	307
6_13	283	283	308
7_15	253	253	455
8_16	406	406	484
9_18	234	234	300
10_19	290	290	316
11_22	134	134	211
12_23	198	198	406
13_24	387	387	438
14_25	425	425	445
15_28	282	282	307
16_31	144	144	169
17_32	168	168	209
18_34	136	136	161
19_36	105	105	312
20_38	208	208	280
21_42	69	69	141
23_43	127	127	152
22_44	173	173	233
24_45	199	199	274
2_9	2248	2248	2298
4_14	2103	2103	2170
25_51	60	60	262
26_52	238	238	258
27_53	103	103	203
5_17	2361	2361	2411
28_55	46	46	250
29_59	7	7	33
6_20	2516	2516	2593
30_60	3	3	65
7_21	2622	2622	2647
9_26	2449	2449	2515
10_27	2403	2403	2454
11_29	2426	2426	2452
12_30	2349	2349	2399
14_33	2314	2314	2365
13_35	2329	2329	2400
15_37	2288	2288	2365
17_39	2337	2337	2388
18_40	2322	2322	2383
19_41	2327	2327	2353
20_46	2130	2130	2151
21_47	2075	2075	2100
23_48	2074	2074	2099
22_49	2075	2075	2095
24_50	2011	2011	2037
25_54	1768	1768	1788
27_56	1530	1530	1555
28_58	1387	1387	1438
29_61	1268	1268	1474
30_63	1357	1357	1383
1_7	4856	4856	4897
3_12	4760	4760	4836
5_57	2032	2032	2057
6_62	1725	1725	1776
7_64	1643	1643	1669
11_65	1452	1452	1654
12_66	1610	1610	348
14_67	294	294	319
13_68	196	196	216
17_69	97	97	122
20_70	68	68	94
18_71	110	110	131
19_72	118	118	194
22_73	152	152	173
23_74	147	147	249
21_75	276	276	336
24_76	287	287	327
27_77	224	224	326
28_78	327	327	353
29_79	238	238	258
30_80	84	84	110
1_81	115	115	156
3_82	108	108	209
5_83	160	160	236
6_84	196	196	246
7_85	230	230	251
12_86	1313	1313	1333
13_87	1345	1345	1448
14_88	1427	1427	1504
18_89	1503	1503	1528
20_90	1514	1514	1539
22_91	1449	1449	1490
19_92	1478	1478	1550
23_93	1363	1363	1388
21_94	1329	1329	1536
24_95	1490	1490	1516
29_96	1430	1430	1480
27_97	1470	1470	1495
28_98	1487	1487	1513
30_99	1395	1395	1416
1_100	1407	1407	1483
3_101	1373	1373	1438
7_102	1359	1359	1426
6_103	1401	1401	1427
12_104	1439	1439	1515
13_105	1293	1293	1318
14_106	1228	1228	1294
18_107	1166	1166	1191
20_108	1203	1203	1253
19_109	1077	1077	1102
23_110	1112	1112	1137
21_111	1015	1015	1035
24_112	908	908	983
29_113	940	940	1011
27_114	951	951	971
1_115	892	892	917
3_116	877	877	902
7_117	844	844	894
12_118	710	710	760
13_119	751	751	776
21_120	571	571	642
23_121	604	604	629
24_122	541	541	618
27_123	562	562	664
29_124	591	591	617
3_125	549	549	575
7_126	508	508	534
13_127	434	434	638
21_128	514	514	540
23_129	513	513	564
24_130	527	527	553
27_131	438	438	458
29_132	397	397	447
13_133	284	284	334
23_134	142	142	168
24_135	137	137	162
