primary_key	waiting_time	response_time	turnaround_time
0_1	0	0	100
0_2	0	0	79
1_3	44	44	69
1_4	1	1	53
2_5	27	27	93
3_6	45	45	66
1_7	59	59	99
3_8	79	79	145
2_9	167	167	218
4_10	194	194	219
5_11	176	176	377
6_12	361	361	438
1_13	449	449	475
3_14	475	475	540
7_15	534	534	735
8_16	696	696	772
4_17	720	720	771
5_18	665	665	731
9_19	692	692	717
10_20	697	697	773
6_21	728	728	754
3_22	661	661	738
11_23	756	756	960
1_24	983	983	1034
12_25	1021	1021	1042
13_26	1009	1009	1074
14_27	1074	1074	1125
7_28	1088	1088	1113
15_29	1012	1012	1037
16_30	872	872	923
5_31	944	944	969
17_32	969	969	1010
18_33	938	938	989
9_34	974	974	1000
10_35	994	994	1065
19_36	1078	1078	1282
6_37	1246	1246	1322
20_38	1273	1273	1345
3_39	1337	1337	1388
11_40	1282	1282	1342
21_41	1298	1298	1323
22_42	1310	1310	1381
23_43	1406	1406	1466
12_44	1486	1486	1512
24_45	1484	1484	1560
1_46	1579	1579	1600
13_47	1549	1549	1574
14_48	1471	1471	1497
15_49	1425	1425	1445
7_50	1460	1460	1485
25_51	1407	1407	1608
26_52	1579	1579	1599
5_53	1598	1598	1699
17_54	1706	1706	1727
18_55	1682	1682	1884
27_56	1845	1845	1871
19_57	1681	1681	1707
28_58	1680	1680	1730
6_59	1596	1596	1621
29_60	1537	1537	1597
20_61	1589	1589	1790
3_62	1791	1791	1842
11_63	1762	1762	1788
30_64	1806	1806	1832
21_65	1821	1821	2024
22_66	1914	1914	1989
23_67	1970	1970	1995
12_68	1922	1922	1943
24_69	1897	1897	1922
14_70	1876	1876	1902
13_71	1925	1925	1945
7_72	1876	1876	1951
25_73	1860	1860	1880
17_74	1702	1702	1803
18_75	1615	1615	1676
19_76	1510	1510	1551
27_77	1564	1564	1666
28_78	1622	1622	1648
6_79	1562	1562	1583
29_80	1562	1562	1587
20_81	1488	1488	1528
3_82	1377	1377	1478
30_83	1412	1412	1489
21_84	1383	1383	1434
22_85	1278	1278	1299
12_86	1300	1300	1320
23_87	1284	1284	1386
24_88	1284	1284	1359
13_89	1371	1371	1397
14_90	1362	1362	1387
7_91	1292	1292	1332
18_92	1045	1045	1115
19_93	1067	1067	1093
27_94	979	979	1186
28_95	1180	1180	1205
29_96	1090	1090	1141
20_97	1143	1143	1168
30_98	965	965	990
22_99	995	995	1015
12_100	994	994	1070
21_101	1073	1073	1139
23_102	942	942	1008
24_103	934	934	959
14_104	897	897	973
13_105	994	994	1019
7_106	972	972	1037
19_107	937	937	962
18_108	975	975	1026
27_109	913	913	939
28_110	822	822	848
29_111	805	805	826
20_112	751	751	826
30_113	813	813	884
12_114	860	860	881
21_115	845	845	871
23_116	806	806	831
24_117	752	752	803
13_118	677	677	728
7_119	713	713	739
29_120	554	554	626
27_121	646	646	671
21_122	300	300	376
23_123	346	346	447
24_124	401	401	426
13_125	379	379	404
29_126	249	249	274
27_127	244	244	445
21_128	405	405	430
23_129	321	321	372
24_130	314	314	339
13_131	308	308	328
29_132	345	345	395
27_133	282	282	332
23_134	146	146	172
24_135	144	144	170
