primary_key	waiting_time	response_time	turnaround_time
0_1	3	3	24
0_3	43	43	94
1_2	143	143	245
0_6	66	66	92
2_4	174	174	200
1_7	6	6	208
0_9	143	143	244
1_10	140	140	243
0_13	32	32	83
2_8	479	479	500
1_14	19	19	44
0_15	8	8	84
1_17	21	21	47
3_5	962	962	1165
1_19	143	143	184
3_21	80	80	155
4_11	864	864	889
3_22	17	17	42
5_12	958	958	1059
4_25	68	68	272
4_26	23	23	229
4_28	15	15	76
6_16	1353	1353	1379
7_18	1300	1300	1376
8_20	1178	1178	1379
6_30	201	201	226
7_32	174	174	200
8_33	98	98	118
8_34	14	14	34
6_35	37	37	98
7_37	22	22	88
6_39	2	2	22
6_40	15	15	222
7_41	259	259	330
8_36	577	577	598
8_42	38	38	63
9_23	1937	1937	2008
7_43	119	119	169
9_44	7	7	82
10_24	2221	2221	2427
9_46	172	172	249
10_47	112	112	133
11_27	2247	2247	2349
9_48	80	80	106
12_29	2195	2195	2271
9_50	17	17	42
11_49	96	96	166
9_52	6	6	32
12_51	85	85	135
13_31	2289	2289	2360
9_53	80	80	156
11_54	179	179	199
12_55	157	157	198
9_57	47	47	107
13_56	159	159	230
12_58	82	82	107
14_38	2291	2291	2311
14_59	23	23	223
12_60	170	170	370
15_45	1910	1910	1986
