primary_key	waiting_time	response_time	turnaround_time
0_1	1	1	22
0_3	35	35	86
1_2	116	116	217
0_5	48	48	251
0_8	19	19	40
0_9	16	16	119
1_7	311	311	516
0_11	145	145	170
1_13	62	62	113
2_4	851	851	877
3_6	844	844	870
1_15	15	15	91
2_16	62	62	88
4_10	539	539	642
5_12	619	619	721
2_18	122	122	198
5_19	3	3	44
6_14	641	641	666
2_20	23	23	231
2_24	18	18	225
2_26	10	10	213
2_28	14	14	74
5_22	743	743	769
6_23	758	758	828
5_29	28	28	104
7_17	1610	1610	1636
6_30	25	25	51
5_31	7	7	78
6_32	36	36	61
8_21	1288	1288	1364
5_33	48	48	69
5_35	16	16	77
6_34	110	110	130
8_36	118	118	139
8_37	16	16	82
9_25	1349	1349	1556
8_38	202	202	223
8_40	20	20	227
8_41	10	10	83
9_39	380	380	400
9_43	12	12	63
10_27	1822	1822	1924
9_44	47	47	124
11_42	369	369	394
10_45	44	44	121
9_46	59	59	135
11_47	120	120	140
9_49	2	2	73
11_48	104	104	129
