patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	56	56	305	338
1	463	463	554	861
2	521	521	693	908
3	387	387	585	807
4	559	559	817	1353
5	675	675	953	1195
6	1514	1514	1706	1961
7	1020	1020	1374	1593
8	1094	1094	1205	1514
9	1518	1518	1983	2494
10	1821	1821	1978	2134
11	1934	1934	2261	2398
12	2245	2245	2792	3405
13	2190	2190	2360	2625
14	2487	2487	2512	2515
15	2751	2751	3309	4074
16	3611	3611	3942	4779
17	3912	3912	4163	4797
18	3731	3731	4090	4563
19	4481	4481	5344	5764
20	5271	5271	5626	6026
21	5213	5213	5799	6390
22	4662	4662	4764	4850
