patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	99	99	416	707
1	483	483	651	1080
2	348	348	389	401
3	751	751	992	1124
4	1158	1158	1184	1192
5	1321	1321	1547	1852
6	1675	1675	2013	2753
7	1511	1511	1562	1725
8	2099	2099	2486	3294
9	1828	1828	1950	2221
10	2414	2414	2593	2763
11	2466	2466	2543	2551
12	2647	2647	2869	3452
13	2569	2569	2774	2987
14	3229	3229	3706	4257
15	2754	2754	2960	2969
16	3023	3023	3110	3231
17	3605	3605	4295	4891
18	4682	4682	5013	5446
19	4621	4621	5050	5189
20	5574	5574	6019	6497
21	5895	5895	6380	6993
22	6560	6560	7095	7799
23	7146	7146	7294	7485
24	7387	7387	7788	8145
25	8279	8279	8582	9179
26	7750	7750	7800	7809
27	7920	7920	7981	7989
28	8421	8421	9097	9559
29	8733	8733	9094	9211
30	9118	9118	9221	9340
31	9307	9307	9327	9335
32	9078	9078	9148	9157
33	9398	9398	9748	10231
34	9294	9294	9565	9832
35	9652	9652	10020	10298
36	9859	9859	9961	10121
37	10234	10234	10628	10805
38	10266	10266	10286	10294
39	10349	10349	10539	10810
40	10410	10410	10852	11146
41	10992	10992	11575	12018
42	11009	11009	11126	11240
43	10820	10820	11039	11358
44	8217	8217	8238	8246
