patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	457	457	685	716
1	389	389	481	644
2	1978	1978	2156	2282
3	1065	1065	1158	1269
4	2041	2041	2240	2609
5	5086	5086	5508	5896
6	810	810	860	1016
7	5649	5649	6006	6214
8	428	428	454	457
9	4322	4322	4699	5085
10	10724	10724	11461	11805
11	1431	1431	1532	1659
12	10956	10956	11482	12124
13	4327	4327	4433	4655
14	4788	4788	4987	5211
15	902	902	928	930
16	9578	9578	9903	10338
17	4940	4940	5102	5317
18	9841	9841	10257	11131
19	1077	1077	1102	1104
20	3055	3055	3126	3242
21	11431	11431	11851	11428
22	9754	9754	10135	10686
23	5581	5581	5694	5999
24	9183	9183	9661	10685
25	10604	10604	10856	11283
26	9049	9049	9538	10464
27	5789	5789	6002	6208
28	8601	8601	8960	9246
29	8830	8830	9281	10286
30	1720	1720	1741	1743
31	1728	1728	1749	1751
32	10381	10381	11018	10384
33	7443	7443	7728	8099
34	3840	3840	4111	4265
35	1981	1981	2058	2060
36	2050	2050	2122	2128
37	8124	8124	8672	9125
38	7179	7179	7468	7738
39	6903	6903	7119	7504
40	3963	3963	4085	4091
41	5831	5831	4836	5307
