patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	292	292	582	638
1	623	623	696	1001
2	868	868	1053	1422
3	874	874	1021	1243
4	2048	2048	2244	2534
5	2435	2435	2683	3032
6	1503	1503	1756	2093
7	4077	4077	4603	4893
8	2633	2633	2774	2995
9	5199	5199	5573	6066
10	2865	2865	2972	3239
11	2876	2876	3038	3301
12	5752	5752	6051	6596
13	2780	2780	2903	3175
14	809	809	884	886
15	6095	6095	6757	7422
16	6274	6274	6739	7543
17	6022	6022	6372	7147
18	5343	5343	5680	6103
19	5777	5777	6503	6796
20	4040	4040	4269	4481
21	5239	5239	6125	6438
22	1737	1737	1869	2024
