patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	0	0	179	325
1	3115	3115	3330	3980
2	194	194	311	365
3	5765	5765	6197	6625
4	914	914	990	1100
5	3383	3383	3776	3996
6	5493	5493	5718	6177
7	7935	7935	8392	8903
8	696	696	772	775
9	1666	1666	1717	1871
10	1691	1691	1838	1930
11	3800	3800	4090	4224
12	7583	7583	7768	8014
13	8212	8212	8469	9188
14	6680	6680	6884	7294
15	2437	2437	2482	2586
16	872	872	923	926
17	4377	4377	4540	4656
18	6255	6255	6690	7066
19	6273	6273	6595	6919
20	6244	6244	6657	7086
21	7125	7125	7597	8079
22	5497	5497	5684	5922
23	7221	7221	7677	8386
24	7210	7210	7538	8367
25	3267	3267	3488	3500
26	1579	1579	1599	1600
27	6473	6473	7110	7657
28	5304	5304	5431	5736
29	6142	6142	6446	7067
30	4996	4996	5195	5561
