patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	771	771	1057	1090
1	854	854	932	1237
2	5145	5145	5437	5703
3	3249	3249	3596	3829
4	4723	4723	4862	5437
5	4865	4865	5083	5316
6	3112	3112	3314	3638
7	5090	5090	5328	5762
8	2532	2532	2835	3051
9	5268	5268	5740	6155
10	2914	2914	3092	3320
11	3012	3012	3124	3338
12	6059	6059	6425	7163
13	2849	2849	2960	3164
14	85	85	136	137
15	6138	6138	6684	7204
16	6010	6010	6776	7274
17	5822	5822	6298	6813
18	4906	4906	5119	5640
19	5522	5522	6124	6528
20	3570	3570	4052	4521
21	5058	5058	5467	6165
22	180	180	272	277
