patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	50	50	315	342
1	430	430	481	639
2	401	401	512	525
3	601	601	737	854
4	742	742	965	1189
5	941	941	1230	1724
6	967	967	1019	1174
7	1260	1260	1680	2155
8	1033	1033	1059	1061
9	1161	1161	1293	1668
10	1812	1812	2194	2677
11	1601	1601	1687	1692
12	2105	2105	2886	3764
13	2327	2327	2453	2686
14	2622	2622	2960	3084
15	2736	2736	2813	2815
16	3184	3184	3453	3999
17	3539	3539	3610	3863
18	3690	3690	4311	4694
19	3250	3250	3325	3327
20	3743	3743	4017	4069
21	5136	5136	5830	6498
22	5259	5259	5710	6020
23	5629	5629	5934	6096
24	6367	6367	6680	7130
25	6524	6524	6942	7462
26	7182	7182	7445	8084
27	7241	7241	7584	7792
28	7571	7571	7871	8191
29	8065	8065	8724	9266
30	7529	7529	7605	7606
31	7776	7776	7796	7798
32	8739	8739	9014	9649
33	8803	8803	8980	9248
34	8857	8857	8958	9070
35	9079	9079	9104	9106
36	8657	8657	8678	8680
37	9018	9018	9353	9758
38	9018	9018	9347	9545
39	9149	9149	9399	9817
40	8657	8657	8890	9043
41	6573	6573	7035	7329
