patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	13227	13227	13733	13879
1	9791	9791	10112	10382
2	92	92	137	142
3	6628	6628	6868	7256
4	1385	1385	1461	1463
5	7151	7151	7395	7640
6	7940	7940	8357	9225
7	118	118	164	267
8	11687	11687	12215	12869
9	8224	8224	8430	8673
10	1763	1763	1920	2079
11	88	88	109	112
12	6652	6652	6934	7526
13	4265	4265	4442	4667
14	7366	7366	7811	8512
15	4160	4160	4236	4238
16	100	100	151	253
17	6636	6636	7011	7511
18	11325	11325	11953	12341
19	124	124	215	473
20	7375	7375	7807	8310
21	3886	3886	4192	4970
22	10801	10801	9930	11657
23	8898	8898	9184	9200
24	1085	1085	1281	1609
25	10925	10925	11511	12021
26	62	62	88	91
27	751	751	817	819
28	8898	8898	9350	9781
29	3930	3930	4070	4194
30	4199	4199	4347	4500
31	3952	3952	4027	4028
32	8375	8375	8581	8583
33	3959	3959	4259	4575
34	3848	3848	3995	4231
35	3739	3739	3971	4316
36	8144	8144	8367	8380
37	8522	8522	8944	9291
38	12	12	37	39
39	8524	8524	8765	8774
40	9769	9769	10289	10361
41	9021	9021	9551	9693
42	2542	2542	2660	2747
43	3695	3695	4010	4565
44	258	258	335	338
