patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	3214	3214	3537	3965
1	10802	10802	11184	11655
2	10145	10145	10656	11220
3	16600	16600	17054	16146
4	10404	10404	10911	11463
5	8866	8866	9090	9219
6	114	114	204	308
7	9594	9594	9905	10120
8	13108	13108	13466	13692
9	2164	2164	2394	2764
10	977	977	1261	1863
11	9961	9961	10190	10204
12	10754	10754	10981	10994
13	7342	7342	7642	8074
14	11521	11521	12133	12693
15	12509	12509	12980	13684
16	6729	6729	7158	7870
17	10978	10978	11291	11421
18	7100	7100	7435	7872
19	1894	1894	1965	1968
20	2917	2917	3056	3169
21	3633	3633	3842	4179
22	4509	4509	4758	5257
23	126	126	191	349
24	131	131	192	195
25	10660	10660	11087	11520
26	5193	5193	5435	5746
27	13278	13278	13642	13876
28	4673	4673	4810	4924
29	13565	13565	14128	14954
30	12247	12247	12684	13336
31	208	208	289	300
32	1243	1243	1488	1912
33	6352	6352	6705	7315
34	106	106	284	760
35	4923	4923	5151	5529
36	12617	12617	13191	13583
37	45	45	70	73
38	3590	3590	4000	4854
39	217	217	348	402
40	163	163	295	353
41	3244	3244	3466	3925
42	7997	7997	8364	8926
43	8991	8991	9507	10060
