patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	1	1	177	318
1	1067	1067	1384	1933
2	124	124	240	294
3	5451	5451	5894	6334
4	141	141	231	33
5	4862	4862	5220	5342
6	3367	3367	3663	4106
7	6582	6582	7080	6225
8	3101	3101	3177	1786
9	3004	3004	3121	1812
10	305	305	381	-908
11	459	459	557	-719
12	3850	3850	4165	3300
13	3829	3829	4198	3499
14	798	798	976	94
15	2643	2643	2761	1481
16	20	20	46	-1345
17	6126	6126	6428	5053
18	519	519	707	-218
19	2666	2666	2947	2043
20	3634	3634	3952	2939
21	6910	6910	7356	6340
22	6533	6533	6856	5681
23	2077	2077	2421	1583
24	6646	6646	7098	6288
25	259	259	345	-935
26	21	21	47	-1329
27	7003	7003	7552	6539
28	227	227	354	-922
29	6509	6509	6989	6095
30	147	147	259	-914
