patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	10794	10794	11161	11580
1	10921	10921	11278	11724
2	14039	14039	14562	15205
3	11203	11203	11407	11927
4	12786	12786	13371	13622
5	6154	6154	6261	6435
6	2193	2193	2367	2492
7	8385	8385	8805	9022
8	5824	5824	6258	6373
9	12327	12327	12606	13087
10	14852	14852	15388	14759
11	2755	2755	2815	2930
12	2693	2693	2960	2975
13	12334	12334	12962	13224
14	14433	14433	14704	15137
15	14044	14044	14869	15219
16	13483	13483	13858	14568
17	12253	12253	12682	13220
18	14880	14880	15220	14495
19	847	847	872	-503
20	4273	4273	4314	2943
21	9871	9871	10005	8787
22	13208	13208	13574	12427
23	7019	7019	7168	6097
24	640	640	666	-707
25	12961	12961	13621	12673
26	13265	13265	13571	12373
27	7093	7093	7209	5991
28	3872	3872	3947	2675
29	14171	14171	14592	13984
30	14370	14370	14706	14000
31	6854	6854	6971	5864
32	12828	12828	13197	12472
33	13761	13761	14121	13470
34	12708	12708	13128	11984
35	8992	8992	9186	8083
36	10715	10715	11066	10153
37	408	408	434	-941
38	12831	12831	13050	12241
39	2379	2379	2477	1215
40	2334	2334	2566	1297
41	9329	9329	9573	8607
42	10185	10185	10389	9427
43	10619	10619	11016	10404
