patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	9265	9265	9655	9962
1	11249	11249	11645	12074
2	882	882	922	928
3	11385	11385	11579	11771
4	277	277	302	304
5	9480	9480	9659	9893
6	12977	12977	13504	14157
7	2760	2760	2810	2968
8	13010	13010	13684	14046
9	6455	6455	6522	6680
10	6293	6293	6469	6696
11	219	219	260	262
12	11824	11824	12120	12710
13	5917	5917	6345	6508
14	12044	12044	12531	13362
15	26	26	87	89
16	2543	2543	2635	2738
17	12113	12113	12381	12918
18	11473	11473	11935	12287
19	6025	6025	6294	6559
20	12261	12261	12832	12137
21	12471	12471	11619	12041
22	11069	11069	11558	12049
23	6132	6132	6324	6599
24	10307	10307	10499	10869
25	11066	11066	11458	12098
26	332	332	357	359
27	312	312	514	516
28	11265	11265	11752	12326
29	8187	8187	8565	8780
30	2866	2866	2964	2970
31	222	222	242	246
32	4	4	80	83
33	10426	10426	10692	11334
34	7917	7917	8323	8598
35	7927	7927	8114	8492
36	2523	2523	2624	2779
37	9336	9336	9547	9791
38	17	17	78	81
39	5281	5281	5494	5762
40	7397	7397	7526	7647
41	9348	9348	9660	10217
42	5060	5060	5130	5291
43	7222	7222	7944	8354
44	37	37	113	116
