patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	2927	2927	3119	3517
1	5952	5952	6184	6451
2	10543	10543	11174	11586
3	7824	7824	8323	8685
4	10663	10663	11017	11244
5	3942	3942	4167	4447
6	2401	2401	2487	2648
7	8124	8124	8291	8715
8	5280	5280	5439	5560
9	10642	10642	11083	11537
10	11921	11921	12277	12980
11	3008	3008	3287	3305
12	3317	3317	3413	3499
13	11122	11122	11354	11820
14	12962	12962	13679	14213
15	14501	14501	15201	14340
16	12784	12784	13211	13608
17	11726	11726	11997	12340
18	12554	12554	13025	13608
19	2023	2023	2043	2051
20	4663	4663	4748	4867
21	9479	9479	9829	10070
22	11168	11168	11566	11950
23	7314	7314	7435	7550
24	2255	2255	2331	2338
25	11063	11063	11482	12046
26	11125	11125	11412	11978
27	7471	7471	7547	7763
28	4862	4862	5087	5195
29	12091	12091	12532	13408
30	12198	12198	12600	13295
31	7413	7413	7585	7865
32	11134	11134	11442	11939
33	13066	13066	12240	12795
34	10943	10943	11401	11903
35	8289	8289	8419	8548
36	9723	9723	9889	10358
37	2610	2610	2635	2641
38	10325	10325	10889	11651
39	5009	5009	5111	5218
40	5103	5103	5200	5287
41	8779	8779	9040	9540
42	8876	8876	9236	9701
43	8828	8828	9182	9901
