patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	5	5	182	332
1	7330	7330	7589	8149
2	2264	2264	2380	2434
3	7709	7709	8089	8504
4	2135	2135	2227	2332
5	4660	4660	5011	5227
6	6121	6121	6350	6791
7	7459	7459	7876	8249
8	406	406	484	489
9	2683	2683	2815	2871
10	2693	2693	2770	2924
11	4012	4012	4317	4540
12	7619	7619	6761	7076
13	7019	7019	7568	8160
14	5688	5688	5927	6254
15	2570	2570	2672	2826
16	144	144	169	172
17	2602	2602	2719	2935
18	5237	5237	5394	5819
19	5105	5105	5511	5860
20	5123	5123	5317	5678
21	5849	5849	6330	6916
22	3849	3849	3991	4117
23	6082	6082	6386	7217
24	6100	6100	6470	7196
25	1828	1828	2050	2063
26	238	238	258	261
27	5278	5278	5672	6351
28	3247	3247	3554	3769
29	4871	4871	5320	5900
30	2839	2839	2974	3390
