patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	9586	9586	9809	9838
1	113	113	163	325
2	321	321	427	587
3	171	171	242	349
4	1245	1245	1437	1752
5	4576	4576	4872	5195
6	139	139	185	190
7	5906	5906	6160	6598
8	11	11	32	33
9	4203	4203	4401	4630
10	12142	12142	12697	13166
11	8756	8756	8987	9138
12	12208	12208	12788	13451
13	7057	7057	7256	7383
14	352	352	503	733
15	37	37	62	65
16	1529	1529	1770	2335
17	6821	6821	7019	7140
18	11929	11929	12710	13257
19	8313	8313	8514	8515
20	8329	8329	8555	8709
21	6339	6339	6746	7544
22	3850	3850	4210	4788
23	3374	3374	3501	3766
24	3563	3563	3810	4315
25	11483	11483	12222	12776
26	4740	4740	5111	5661
27	6080	6080	6271	6500
28	666	666	905	1283
29	4568	4568	4926	5309
30	42	42	68	70
31	7720	7720	7920	7923
32	8227	8227	8736	9441
33	3294	3294	3521	3793
34	136	136	187	341
35	1243	1243	1313	1317
36	83	83	144	146
37	9693	9693	10309	10689
38	7416	7416	7713	7825
39	7667	7667	8029	8096
40	7705	7705	7928	7935
41	1622	1622	1905	2257
