patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	2	2	185	344
1	176	176	625	1095
2	67	67	198	253
3	636	636	1133	1513
4	974	974	1091	1195
5	1417	1417	1594	1949
6	1359	1359	1695	1995
7	2000	2000	1030	2442
8	1983	1983	2184	2187
9	922	922	1089	2057
10	1238	1238	1325	1477
11	1196	1196	1451	1569
12	1621	1621	1844	2410
13	1974	1974	2380	2883
14	2162	2162	2575	2811
15	2512	2512	2564	2716
16	2551	2551	2602	2604
17	2668	2668	2796	3099
18	2786	2786	3052	3375
19	2916	2916	3217	3703
20	3355	3355	3572	4000
21	3693	3693	4044	4679
22	3439	3439	3751	4036
23	4095	4095	4442	5215
24	4662	4662	5047	5821
25	4367	4367	4414	4517
26	4321	4321	4341	4344
27	4963	4963	5419	6012
28	6414	6414	6743	5705
29	6602	6602	6855	6165
30	6748	6748	6870	5776
