patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	4	138	10079	385
1	125	5	138	12199	390
2	191	2	193	1119	40
3	208	5	210	11979	190
4	250	1	252	554	25
5	277	4	280	10170	175
6	288	8	291	14445	520
7	459	2	461	3427	50
8	487	8	490	14533	660
9	668	3	670	7348	65
10	747	3	749	7443	175
11	768	1	770	1030	40
12	1132	6	1134	13842	290
13	1205	3	1207	7713	425
14	1310	8	1312	14672	480
15	1576	1	1578	1665	60
16	1674	2	1676	4412	90
17	1686	8	1688	14604	265
18	1724	6	1727	14011	455
19	1730	3	1732	8289	265
20	1971	7	1974	14108	560
21	1978	7	1981	14019	510
22	2014	7	2017	14063	485
23	2048	3	2051	8647	190
24	2117	5	2120	12986	190
25	2135	7	2138	14233	385
26	2161	1	2163	2520	25
27	2228	1	2230	2744	200
28	2423	8	2426	14749	480
29	2453	4	2455	11233	375
30	2687	2	2690	5657	95
31	2729	1	2733	2975	20
32	2998	1	3001	3081	75
33	3029	7	3031	14363	265
34	3040	4	3043	11638	400
35	3195	4	3198	11687	185
36	3472	2	3475	6251	100
37	3490	5	3493	13281	210
38	3734	1	3737	3815	60
39	3961	3	3966	9723	210
40	4090	4	4093	11737	125
41	4100	7	4103	14317	310
42	4479	3	4482	9770	70
43	5138	6	5142	13492	710
44	7782	1	7785	7898	75
