patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	1	5	21	3518	190
1	43	5	49	6494	230
2	256	7	264	11842	610
3	259	5	266	8944	490
4	323	6	330	11567	350
5	363	3	371	4810	220
6	513	2	522	3161	85
7	566	4	580	9281	165
8	757	3	764	6317	155
9	1009	6	1016	12546	435
10	1014	7	1020	13994	350
11	1025	2	1031	4330	275
12	1061	2	1067	4560	95
13	1063	6	1069	12883	230
14	1088	8	1094	15301	710
15	1181	8	1188	15521	690
16	1253	7	1259	14861	415
17	1273	6	1279	13613	270
18	1387	7	1393	14995	465
19	1428	1	1436	3479	20
20	1497	2	1503	6364	85
21	1716	4	1723	11786	345
22	2001	6	2008	13951	395
23	2013	3	2019	9563	120
24	2089	1	2096	4427	75
25	2134	6	2140	14180	415
26	2246	6	2253	14224	280
27	2354	3	2363	10117	75
28	2432	2	2439	7627	225
29	2499	8	2505	15907	435
30	2533	8	2540	15828	395
31	2640	3	2651	10505	170
32	2668	6	2682	14607	305
33	2683	7	2690	15478	585
34	2917	6	2927	14820	445
35	3112	4	3118	11660	130
36	3436	5	3443	13794	165
37	3549	1	3555	6190	25
38	4342	8	4348	15993	550
39	4601	2	4607	9819	100
40	4744	2	4750	10031	95
41	5109	5	5115	14649	255
42	5889	6	5895	15590	355
43	6246	8	6252	16147	345
