patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	4	137	13996	500
1	125	5	137	10507	315
2	191	2	192	333	45
3	208	5	210	7464	235
4	250	1	252	1713	75
5	277	4	279	7917	240
6	288	8	290	9513	410
7	459	2	461	726	45
8	487	8	489	13356	520
9	668	3	680	9341	200
10	747	3	749	2826	155
11	768	1	771	880	20
12	1132	6	1143	8658	275
13	1205	3	1207	5872	175
14	1310	8	1312	9822	440
15	1576	1	1578	5814	75
16	1674	2	1675	1927	50
17	1686	8	1688	9197	365
18	1724	6	1726	14065	620
19	1730	3	1735	2203	90
20	1971	7	1972	10281	425
21	1978	7	1980	6948	300
22	2014	7	2016	13671	510
23	2048	3	2050	11248	280
24	2117	5	2122	3726	195
25	2135	7	2136	14156	580
26	2161	1	2164	2252	25
27	2228	1	2230	3047	65
28	2423	8	2427	12204	450
29	2453	4	2455	6647	140
30	2687	2	2690	7187	145
31	2729	1	2730	6757	75
32	2998	1	3000	11581	200
33	3029	7	3031	7604	295
34	3040	4	3041	7271	145
35	3195	4	3197	7511	230
36	3472	2	3474	11852	220
37	3490	5	3493	12781	420
38	3734	1	3736	3773	25
39	3961	3	3963	12735	240
40	4090	4	4092	14451	515
41	4100	7	4102	13793	525
42	4479	3	4482	7226	115
43	5138	6	5140	9703	310
44	7782	1	7785	8120	75
