patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	2	137	833	225
1	125	2	136	769	90
2	191	4	193	2473	175
3	250	3	254	1519	90
4	277	4	280	2886	195
5	288	5	290	6184	415
6	459	2	461	1475	50
7	487	5	489	6701	355
8	668	1	671	1125	25
9	747	4	749	5832	365
10	768	8	770	12573	725
11	1132	2	1148	2791	100
12	1205	8	1207	13329	520
13	1310	3	1312	5965	105
14	1576	3	1578	6787	195
15	1674	1	1676	2604	25
16	1686	6	1696	12024	320
17	1724	3	1726	7041	160
18	1971	8	1973	13102	410
19	1978	1	1980	3082	25
20	2014	2	2028	5256	70
21	2048	8	2051	13476	410
22	2117	6	2123	12803	375
23	2135	3	2137	8134	110
24	2161	7	2167	12846	475
25	2228	7	2231	13511	250
26	2423	7	2425	12887	480
27	2453	3	2456	8661	210
28	2687	5	2690	11933	350
29	2729	7	2731	13015	445
30	2998	1	3000	4741	20
31	3029	1	3031	4780	20
32	3040	8	3042	13424	630
33	3195	4	3197	11294	280
34	3472	2	3474	7737	270
35	3490	1	3492	5550	75
36	3961	1	3967	6089	70
37	4090	7	4092	13215	540
38	4100	4	4104	11838	285
39	4479	4	4483	11983	210
40	5138	2	5141	9229	120
41	7782	5	7785	13089	375
