patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	2	131	1013	265
1	125	2	131	1355	75
2	191	4	193	8789	220
3	250	3	262	6290	110
4	277	4	280	9022	310
5	288	5	291	11203	440
6	459	2	461	3359	50
7	487	5	491	10910	165
8	668	1	671	790	25
9	747	4	750	9217	140
10	768	8	770	14384	465
11	1132	2	1134	3444	100
12	1205	8	1208	14655	635
13	1310	3	1313	7033	230
14	1576	3	1578	7119	210
15	1674	1	1679	1722	25
16	1686	6	1691	12748	330
17	1724	3	1726	7296	150
18	1971	8	1973	14433	545
19	1978	1	1980	2114	50
20	2014	2	2016	4604	400
21	2048	8	2050	14781	430
22	2117	6	2121	12856	190
23	2135	3	2137	7510	150
24	2161	7	2163	13873	310
25	2228	7	2230	14099	420
26	2423	7	2425	13697	225
27	2453	3	2455	7708	135
28	2687	5	2689	11931	645
29	2729	7	2731	14154	385
30	2998	1	3001	3085	70
31	3029	1	3032	3181	75
32	3040	8	3042	14901	415
33	3195	4	3197	10657	420
34	3472	2	3474	5866	45
35	3490	1	3495	3760	25
36	3961	1	3963	4099	75
37	4090	7	4097	14286	590
38	4100	4	4102	10857	325
39	4479	4	4482	10547	185
40	5138	2	5140	6511	400
41	7782	5	7784	13104	185
