patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	372	2	398	704	175
1	675	6	679	8824	255
2	969	2	972	3403	115
3	1040	7	1043	9544	375
4	1158	2	1161	3490	90
5	1221	4	1223	6448	350
6	1267	5	1270	8058	225
7	1341	7	1343	9590	410
8	1405	1	1410	1894	75
9	1678	2	1683	4549	130
10	1708	2	1711	4632	75
11	1907	3	1910	6447	300
12	1949	6	1952	9025	470
13	1997	8	1999	10157	540
14	2026	5	2028	8280	235
15	2208	2	2210	5034	100
16	2391	1	2394	2563	25
17	2414	3	2416	5349	115
18	2508	5	2511	8327	155
19	2585	5	2587	8445	395
20	2718	5	2720	8396	190
21	2950	7	2952	9866	470
22	2985	4	2989	7102	140
23	2986	8	2989	10203	300
24	3050	8	3052	10246	365
25	3450	2	3452	5513	220
26	3497	1	3500	3758	20
27	3669	7	3677	10020	390
28	3924	4	3927	7693	300
29	4188	7	4193	10088	440
30	4344	4	4348	7734	130
