patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	4	143	824	315
1	125	5	143	1205	165
2	191	2	199	592	40
3	208	5	217	1332	235
4	250	1	258	1442	25
5	277	4	285	2129	225
6	288	8	296	3041	335
7	459	2	471	2184	50
8	487	8	495	3781	380
9	668	3	676	2889	120
10	747	3	756	3510	175
11	768	1	776	3319	75
12	1132	6	1141	4584	220
13	1205	3	1216	4192	200
14	1310	8	1318	5567	475
15	1576	1	1585	4545	200
16	1674	2	1683	4905	85
17	1686	8	1694	6577	675
18	1724	6	1734	7170	325
19	1730	3	1754	6919	425
20	1971	7	1979	8468	435
21	1978	7	1987	8971	480
22	2014	7	2022	9813	530
23	2048	3	2056	9533	145
24	2117	5	2125	10262	390
25	2135	7	2143	11314	295
26	2161	1	2170	9970	50
27	2228	1	2236	10217	60
28	2423	8	2432	11982	665
29	2453	4	2463	11664	350
30	2687	2	2695	12027	100
31	2729	1	2737	12064	20
32	2998	1	3007	12155	70
33	3029	7	3038	13260	345
34	3040	4	3048	12872	270
35	3195	4	3205	13493	365
36	3472	2	3481	13593	100
37	3490	5	3498	14295	385
38	3734	1	3742	14028	20
39	3961	3	3970	14771	185
40	4090	4	4099	15236	430
41	4100	7	4108	16118	570
42	4479	3	4488	15719	115
43	5138	6	5147	16496	215
44	7782	1	7790	16028	20
