patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	1	5	15	11581	360
1	43	5	45	11767	350
2	256	7	259	15461	510
3	259	5	262	12186	200
4	323	6	325	13945	575
5	363	3	382	6798	105
6	513	2	516	3005	170
7	566	4	567	9588	415
8	757	3	760	7130	425
9	1009	6	1011	14096	275
10	1014	7	28	15773	525
11	1025	2	96	3955	60
12	1061	2	218	4036	260
13	1063	6	400	14287	615
14	1088	8	472	16225	265
15	1181	8	607	16400	810
16	1253	7	847	15821	365
17	1273	6	941	14493	425
18	1387	7	11	15882	335
19	1428	1	53	925	25
20	1497	2	123	4440	40
21	1716	4	341	10503	130
22	2001	6	625	14428	355
23	2013	3	639	8110	145
24	2089	1	716	1382	25
25	2134	6	758	14807	645
26	2246	6	871	14619	300
27	2354	3	980	8345	115
28	2432	2	1057	5107	75
29	2499	8	1124	16483	415
30	2533	8	1159	16533	335
31	2640	3	1265	8504	115
32	2668	6	1295	15140	360
33	2683	7	1309	16153	355
34	2917	6	1542	14901	415
35	3112	4	1740	11195	190
36	3436	5	2062	13589	345
37	3549	1	2174	2608	25
38	4342	8	2968	16583	215
39	4601	2	3227	5816	95
40	4744	2	3373	6041	225
41	5109	5	3735	13716	240
42	5889	6	4514	15316	200
43	6246	8	4873	16650	390
