patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	3	157	755	285
1	191	3	194	1192	70
2	250	5	252	1672	180
3	487	4	488	1730	145
4	668	5	677	3202	190
5	747	5	751	3779	245
6	768	4	769	2861	250
7	1205	5	1206	6098	520
8	1576	3	1591	4571	140
9	1674	6	1679	7740	370
10	1686	3	1689	4925	105
11	1724	3	1725	5025	160
12	1971	7	1974	8567	295
13	2048	3	2057	5223	120
14	2117	1	2119	3003	75
15	2135	8	2140	9557	650
16	2161	8	2163	9704	460
17	2228	7	2230	9375	345
18	2687	6	2689	8790	330
19	3029	8	3030	9825	715
20	3040	5	3042	7521	225
21	3472	8	3475	9910	870
22	4479	2	4481	6503	130
