patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	2	135	9955	220
1	125	2	135	450	50
2	191	4	193	778	105
3	250	3	252	599	70
4	277	4	279	2029	190
5	288	5	290	5483	290
6	459	2	460	649	45
7	487	5	488	7085	250
8	668	1	669	701	20
9	747	4	749	5377	195
10	768	8	772	13934	545
11	1132	2	1133	10270	225
12	1205	8	1206	14656	570
13	1310	3	1312	8693	195
14	1576	3	1578	2309	150
15	1674	1	1677	1739	25
16	1686	6	1688	4021	235
17	1724	3	1725	8864	195
18	1971	8	1973	15228	770
19	1978	1	1979	10493	200
20	2014	2	2016	10723	225
21	2048	8	2050	9592	400
22	2117	6	2118	6905	355
23	2135	3	2136	5901	125
24	2161	7	2163	6476	245
25	2228	7	2231	15004	725
26	2423	7	2425	8084	365
27	2453	3	2455	8953	190
28	2687	5	2689	3970	235
29	2729	7	2731	8038	355
30	2998	1	3000	3068	25
31	3029	1	3032	10952	200
32	3040	8	3042	12481	505
33	3195	4	3197	6988	225
34	3472	2	3475	3813	50
35	3490	1	3494	4807	70
36	3961	1	3963	4107	60
37	4090	7	4092	14779	595
38	4100	4	4102	11925	290
39	4479	4	4481	12575	355
40	5138	2	5141	13073	220
41	7782	5	7784	10039	280
