patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	372	2	391	690	175
1	675	6	583	2608	310
2	969	2	972	1263	115
3	1040	7	57	7374	435
4	1158	2	-101	1191	90
5	1221	4	1228	6563	355
6	1267	5	70	5373	290
7	1341	7	-50	7566	485
8	1405	1	14	3191	75
9	1678	2	287	3490	115
10	1708	2	317	800	75
11	1907	3	522	1188	95
12	1949	6	558	5249	310
13	1997	8	606	5496	360
14	2026	5	638	2120	175
15	2208	2	817	3689	115
16	2391	1	1000	1046	25
17	2414	3	1023	7467	295
18	2508	5	1117	2290	185
19	2585	5	1194	4628	275
20	2718	5	1327	5657	315
21	2950	7	1559	9290	440
22	2985	4	1594	8666	320
23	2986	8	1595	4569	340
24	3050	8	1661	9338	445
25	3450	2	2059	2515	85
26	3497	1	2121	2168	25
27	3669	7	2277	10208	545
28	3924	4	2538	3002	125
29	4188	7	2797	10283	470
30	4344	4	2954	3430	110
