patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	372	2	403	716	175
1	675	6	680	1770	440
2	969	2	972	1222	130
3	1040	7	1041	2553	485
4	1158	2	1160	2353	115
5	1221	4	1223	3170	175
6	1267	5	1281	3262	330
7	1341	7	1342	3783	425
8	1405	1	1408	3592	200
9	1678	2	1679	3735	165
10	1708	2	1709	3185	85
11	1907	3	1908	3476	250
12	1949	6	1950	4359	220
13	1997	8	1999	4880	400
14	2026	5	2028	4837	405
15	2208	2	2209	4924	50
16	2391	1	2393	4995	50
17	2414	3	2415	5513	125
18	2508	5	2509	5883	260
19	2585	5	2586	6288	295
20	2718	5	2719	6718	215
21	2950	7	2951	7629	345
22	2985	4	2988	7021	305
23	2986	8	2988	8201	340
24	3050	8	3053	8871	380
25	3450	2	3452	7967	45
26	3497	1	3500	7841	20
27	3669	7	3671	9681	450
28	3924	4	2520	9629	325
29	4188	7	2785	10353	250
30	4344	4	2940	10120	120
