patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	4	161	3213	125
1	125	5	161	4875	345
2	191	2	198	895	40
3	208	5	213	5619	285
4	250	1	256	567	25
5	277	4	282	3604	220
6	288	8	293	13688	580
7	459	2	463	1489	45
8	487	8	493	13744	390
9	668	3	673	4121	250
10	747	3	753	4272	280
11	768	1	776	1258	40
12	1132	6	1137	12632	655
13	1205	3	1209	6796	325
14	1310	8	1314	15746	600
15	1576	1	1580	2649	25
16	1674	2	1679	4969	100
17	1686	8	1691	15840	345
18	1724	6	1729	13960	525
19	1730	3	1735	8136	310
20	1971	7	1976	15371	465
21	1978	7	1982	15236	555
22	2014	7	2019	15332	350
23	2048	3	2052	9063	285
24	2117	5	2121	12955	235
25	2135	7	2141	15544	295
26	2161	1	2166	3899	25
27	2228	1	2234	4209	65
28	2423	8	2428	15984	450
29	2453	4	2457	11608	130
30	2687	2	2692	7297	95
31	2729	1	2735	4836	20
32	2998	1	3011	5162	70
33	3029	7	3034	15911	440
34	3040	4	3044	12167	320
35	3195	4	3199	12413	150
36	3472	2	3478	8735	45
37	3490	5	3499	14244	250
38	3734	1	3738	6259	75
39	3961	3	3966	11257	290
40	4090	4	4096	13107	285
41	4100	7	4105	16058	515
42	4479	3	4484	11480	70
43	5138	6	5145	15678	305
44	7782	1	7788	10387	60
