patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	3	157	1542	295
1	191	3	201	744	65
2	250	5	253	1270	135
3	487	4	489	6159	240
4	668	5	671	6108	250
5	747	5	750	4020	220
6	768	4	770	2107	140
7	1205	5	1207	9106	540
8	1576	3	1579	4065	125
9	1674	6	1676	8538	510
10	1686	3	1688	2156	110
11	1724	3	1726	2875	160
12	1971	7	1975	8455	460
13	2048	3	2050	4420	165
14	2117	1	2119	2603	50
15	2135	8	2137	10190	780
16	2161	8	2179	3809	320
17	2228	7	2231	9721	700
18	2687	6	2689	10106	570
19	3029	8	3031	5613	370
20	3040	5	3045	5664	260
21	3472	8	3474	6218	370
22	4479	2	4481	4606	40
