patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	2	132	459	265
1	125	2	132	764	50
2	191	4	192	716	110
3	250	3	252	1104	135
4	277	4	280	1466	220
5	288	5	289	2012	285
6	459	2	462	1633	50
7	487	5	489	2642	410
8	668	1	670	1729	25
9	747	4	748	2415	130
10	768	8	771	3445	375
11	1132	2	1134	2824	85
12	1205	8	1206	4969	765
13	1310	3	1311	3996	125
14	1576	3	1578	4660	330
15	1674	1	1676	4489	75
16	1686	6	1687	5685	265
17	1724	3	1726	5587	70
18	1971	8	1972	6665	605
19	1978	1	1980	5305	75
20	2014	2	2015	6083	265
21	2048	8	2050	8546	680
22	2117	6	2118	8137	445
23	2135	3	2136	8231	300
24	2161	7	2162	9291	310
25	2228	7	2230	9690	410
26	2423	7	2424	10507	260
27	2453	3	2454	10245	335
28	2687	5	2689	10878	295
29	2729	7	2732	11995	640
30	2998	1	2999	10604	75
31	3029	1	3031	10827	20
32	3040	8	3043	12689	270
33	3195	4	3197	12443	175
34	3472	2	3474	12542	100
35	3490	1	3492	12596	25
36	3961	1	3963	12641	20
37	4090	7	4092	13848	330
38	4100	4	4105	13645	320
39	4479	4	4481	14296	245
40	5138	2	5140	14181	225
41	7782	5	7784	15111	445
