patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	1	5	16	945	270
1	43	5	47	1548	450
2	256	7	259	1870	385
3	259	5	264	2176	510
4	323	6	328	3217	580
5	363	3	367	2896	105
6	513	2	516	3438	225
7	566	4	571	4293	200
8	757	3	760	4151	90
9	1009	6	1012	4633	440
10	1014	7	1017	4534	425
11	1025	2	1028	3634	100
12	1061	2	1063	4333	270
13	1063	6	1066	5212	715
14	1088	8	1092	6138	585
15	1181	8	1185	7032	465
16	1253	7	1257	6774	330
17	1273	6	1277	7530	220
18	1387	7	1390	8598	520
19	1428	1	1431	7225	20
20	1497	2	1503	7486	45
21	1716	4	1722	8113	180
22	2001	6	2004	9058	380
23	2013	3	2017	9616	135
24	2089	1	2094	9012	50
25	2134	6	2137	9815	375
26	2246	6	2249	11255	555
27	2354	3	2357	10305	185
28	2432	2	2435	10385	85
29	2499	8	2502	12217	440
30	2533	8	2536	12529	385
31	2640	3	2643	11533	200
32	2668	6	2672	13200	375
33	2683	7	2686	13881	325
34	2917	6	2920	13786	240
35	3112	4	3116	13834	160
36	3436	5	3438	14816	325
37	3549	1	3551	14038	25
38	4342	8	4345	15672	505
39	4601	2	4604	14727	150
40	4744	2	3341	15256	100
41	5109	5	3708	15992	160
42	5889	6	4487	16349	195
43	6246	8	4843	17143	340
